#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-24T01:02:39 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ632e56101786d8	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/829/119&tab:{J/ApJ/829/119/table1}&key:source=J/ApJ/829/119/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/829/119/table1
#-order=I
#-out=Name
#-out=St
#-out=e_St
#I17=I17
#

#RESOURCE=yCat_18290119
#Name: J/ApJ/829/119
#Title: Known pulsars identified in the TGSS ADR (Frail+, 2016)
#Table	J_ApJ_829_119_table1:
#Name: J/ApJ/829/119/table1
#Title: Bright radio pulsars detected at 150MHz
#Column	Name	(A10)	Common pulsar identifier (1)	[ucd=meta.id;meta.main]
#Column	St	(F8.1)	[13/151870] Total 150MHz flux density from TGSS ADR (Intema+, 2017A&A...598A..78I)	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	e_St	(F5.1)	[3/697] Measured uncertainty in St (3)	[ucd=stat.error]
Name	St	e_St
 	mJy	mJy
----------	--------	-----
J0030+0451	    44.9	  4.5
B0031-07  	   516.5	  6.4
J0034-0534	   265.3	  4.4
B0114+58  	    71.3	  5.4
B0136+57  	   154.5	  4.9
B0138+59  	   138.2	  4.4
B0144+59  	    33.1	  3.5
B0148-06  	    28.9	  5.0
B0149-16  	    88.4	  7.0
J0218+4232	   432.0	  5.9
J0248+6021	   152.3	  5.4
B0301+19  	    30.3	  4.5
B0320+39  	   104.7	  7.5
B0329+54  	  2156.9	 11.2
B0353+52  	    26.4	  4.3
B0355+54  	    92.4	  4.6
B0402+61  	    32.4	  6.3
J0437-4715	   313.9	  8.9
B0447-12  	    64.1	  4.2
B0450-18  	   111.2	  6.4
B0450+55  	    31.2	  4.5
J0459-0210	    62.3	  7.2
B0458+46  	    25.0	  4.4
B0523+11  	    31.8	  5.6
B0531+21  	151870.0	697.0
B0559-05  	    32.5	  5.5
J0613+3731	    72.1	  5.4
J0621+1002	    77.3	  7.1
J0627+0706	    56.4	  7.5
B0628-28  	   337.6	  5.3
B0655+64  	    50.9	  6.3
J0737-3039	   125.8	  9.1
B0736-40  	   128.4	  5.5
B0740-28  	   392.7	  6.2
B0808-47  	   291.3	  9.5
B0809+74  	   435.5	  3.7
B0818-41  	   207.0	  7.6
B0818-13  	   147.3	  5.5
B0820+02  	    39.7	  4.1
B0823+26  	   227.3	  5.8
B0833-45  	 10250.1	 24.0
B0834+06  	   766.2	  8.6
B0835-41  	   104.9	  5.3
B0840-48  	    54.3	  5.7
B0844-35  	    18.3	  5.0
B0853-33  	    44.7	  6.6
J0857-4424	   106.0	  6.1
B0905-51  	   118.3	 13.4
