Pulsar_Name DM Frequency1 / S1 Frequency2 / S2 Frequency3 / S3 Frequency4 / S4 α
J0719-2545 253.89 1278.75 / 1.00±0.02 1336.75 / 0.87±0.02 1400.29 / 0.82±0.02 1459.32 / 0.76±0.02 −1.99±0.25
J0738-4042 160.80 1277.35 / 103.86±0.15 1337.61 / 91.67±0.10 1400.04 / 83.71±0.08 1460.04 / 80.83±0.11 −1.89±0.01
J0818-3232 131.80 1278.75 / 1.07±0.02 1336.75 / 0.95±0.02 1400.29 / 0.86±0.02 1459.32 / 0.77±0.02 −2.41±0.20
J0820-3921 179.40 1277.06 / 0.69±0.05 1337.61 / 0.58±0.03 1400.04 / 0.56±0.03 1460.04 / 0.50±0.03 −2.08±0.58
J0821-4221 270.60 1276.68 / 0.70±0.03 1337.61 / 0.58±0.02 1400.04 / 0.51±0.02 1460.04 / 0.46±0.02 −3.15±0.49
J0831-4406 254.00 1276.05 / 0.70±0.04 1337.61 / 0.64±0.02 1400.04 / 0.59±0.02 1461.16 / 0.60±0.03 −1.10±0.47
J0838-2621 116.90 1277.10 / 0.65±0.04 1337.79 / 0.46±0.03 1400.04 / 0.40±0.02 1460.04 / 0.34±0.03 −4.84±0.74
J0843-5022 178.47 1277.14 / 0.51±0.03 1337.36 / 0.46±0.02 1400.04 / 0.41±0.02 1460.04 / 0.39±0.02 −1.99±0.61
J0932-3217 102.10 1277.64 / 0.45±0.02 1337.09 / 0.40±0.01 1400.60 / 0.32±0.01 1459.61 / 0.33±0.01 −2.74±0.43
J0942-5552 180.20 1277.30 / 12.38±0.07 1336.75 / 10.65±0.05 1400.45 / 9.57±0.04 1459.61 / 8.64±0.05 −2.64±0.05
J0945-4833 101.10 1278.75 / 0.47±0.02 1336.75 / 0.38±0.02 1400.29 / 0.35±0.02 1459.32 / 0.33±0.02 −2.73±0.53
J0952-3839 167.00 1277.15 / 0.54±0.03 1337.61 / 0.40±0.02 1400.20 / 0.34±0.02 1460.04 / 0.31±0.02 −4.27±0.54
J1017-5621 438.70 1278.75 / 2.56±0.03 1336.26 / 2.23±0.02 1400.29 / 2.01±0.02 1459.32 / 1.82±0.02 −2.56±0.11
J1032-5911 418.20 1277.39 / 1.16±0.04 1337.61 / 0.93±0.03 1400.04 / 0.79±0.02 1460.04 / 0.77±0.03 −3.24±0.37
J1058-5957 334.00 1277.39 / 0.75±0.02 1337.61 / 0.67±0.02 1400.04 / 0.60±0.02 1460.04 / 0.53±0.02 −2.57±0.33
J1107-5947 158.40 1278.17 / 1.01±0.04 1336.91 / 1.00±0.03 1400.04 / 0.87±0.02 1460.04 / 0.85±0.03 −1.59±0.36
J1107-6143 406.00 1342.75 / 0.74±0.01 1399.99 / 0.71±0.01 1465.60 / 0.65±0.01 1522.10 / 0.60±0.02 −1.58±0.23
J1115-6052 228.20 1342.75 / 0.52±0.03 1399.88 / 0.46±0.02 1465.27 / 0.48±0.02 1521.94 / 0.44±0.03 −1.06±0.61
J1123-6651 111.20 1277.30 / 0.53±0.06 1336.75 / 0.46±0.04 1400.60 / 0.42±0.03 1459.61 / 0.39±0.05 −2.34±1.08
J1130-6807 148.73 1277.10 / 0.80±0.07 1336.91 / 0.64±0.05 1400.20 / 0.55±0.05 1460.04 / 0.49±0.06 −3.62±0.96
J1156-5707 243.50 1276.14 / 0.39±0.04 1337.61 / 0.35±0.02 1400.20 / 0.31±0.02 1460.04 / 0.29±0.03 −2.24±0.86
J1220-6318 347.00 1277.39 / 1.03±0.03 1337.44 / 0.93±0.02 1400.29 / 0.78±0.02 1459.52 / 0.72±0.03 −2.87±0.33
J1225-6035 176.10 1278.75 / 0.36±0.02 1337.08 / 0.34±0.02 1400.29 / 0.31±0.02 1459.32 / 0.29±0.02 −1.69±0.62
J1237-6725 176.50 1277.19 / 1.02±0.03 1336.75 / 0.75±0.02 1400.29 / 0.68±0.01 1459.32 / 0.53±0.02 −4.48±0.27
J1303-6305 343.00 1277.16 / 0.38±0.03 1336.75 / 0.29±0.02 1400.29 / 0.28±0.02 1459.32 / 0.23±0.02 −3.36±0.85
J1314-6101 309.00 1277.10 / 0.78±0.03 1336.91 / 0.64±0.02 1400.04 / 0.57±0.02 1460.04 / 0.51±0.02 −3.09±0.40
J1319-6105 442.20 1278.50 / 1.48±0.04 1336.75 / 1.38±0.03 1400.45 / 1.28±0.03 1459.32 / 1.26±0.03 −1.27±0.24
J1326-6408 502.70 1278.75 / 2.85±0.03 1336.75 / 2.40±0.02 1400.29 / 2.16±0.02 1459.32 / 2.00±0.03 −2.71±0.12
