PSRJ|S728|e_S728|S1382|e_S1382|S3100|e_S3100
 |mJy|mJy|mJy|mJy|mJy|mJy
-----------|-------|------|--------|------|-------|------
J0401-7608 |   4.00|  2.00|        |      |  0.800| 0.500
J0437-4715 | 300.00|200.00| 160.000|20.000| 30.000|30.000
J0511-6508 |   1.30|  0.70|   0.600| 0.200|  0.100|
J0519-6932 |       |      |   0.140| 0.040|       |
J0536-7543 |  11.00|  7.00|        |      |  3.000| 2.000
J0543+2329 |  25.00|  2.00|  10.700| 0.700|  3.000| 0.200
J0601-0527 |   6.00|  2.00|        |      |  0.600| 0.200
J0614+2229 |   8.80|  0.80|   3.300| 0.200|  0.760| 0.060
J0624-0424 |   3.00|  1.00|        |      |  0.050|
J0627+0706 |   3.80|  0.20|   1.390| 0.080|  0.310| 0.050
J0630-2834 | 180.00| 90.00|        |      |  1.600| 0.800
J0656-2228 |   0.90|  0.40|   3.000| 1.000|  0.300| 0.200
J0659+1414 |   3.90|  0.80|   2.700| 0.200|  1.600| 0.300
J0711-6830 |   7.00|  4.00|   5.000| 3.000|  1.000| 0.700
J0721-2038 |   0.50|  0.20|   0.210| 0.070|       |
J0729-1448 |   2.10|  0.20|   0.830| 0.060|  0.190| 0.020
J0729-1836 |   4.00|  1.00|   1.900| 0.500|  0.500| 0.200
J0737-3039B|       |      |   0.100|      |       |
J0742-2822 |  90.00| 30.00|  26.000| 2.000|  6.800| 0.500
J0745-5353 |  12.00|  0.70|   5.000| 0.200|  1.210| 0.070
J0751+1807 |       |      |        |      |  0.060|
J0758-1528 |   4.00|  1.00|   2.600| 0.800|  1.400| 0.500
J0809-4753 |  21.00|  9.00|   2.600| 0.600|  0.460| 0.070
J0812-3905 |   1.60|  0.20|   0.380| 0.090|  0.100|
J0818-3049 |   1.30|  0.30|   0.330| 0.090|  5.000|
J0818-3232 |   2.40|  0.40|   1.400| 0.400|  0.180| 0.040
J0820-1350 |  27.00|  8.00|   6.000| 2.000|  1.400| 0.700
J0820-3826 |   1.27|  0.08|   0.490| 0.030|  0.093| 0.007
J0820-4114 |  20.00| 10.00|   5.000| 1.000|  1.000| 0.400
J0823+0159 |   4.00|  3.00|   4.000| 2.000|  0.400| 0.300
J0834-4159 |   0.82|  0.08|   0.280| 0.020|  0.080| 0.010
J0835-4510 |3100.00|200.00|1050.000|60.000|170.000|20.000
J0837+0610 |  13.00|  6.00|   5.000| 1.000|  0.200| 0.100
J0837-4135 | 110.00| 30.00|  35.000| 9.000|  8.000| 2.000
J0840-5332 |  23.00|  9.00|   1.700| 0.500|  0.260| 0.070
J0846-3533 |  12.00|  2.00|   5.000| 1.000|  0.700| 0.100
J0855-3331 |   3.50|  0.70|        |      |  0.110| 0.020
J0855-4644 |   0.57|  0.05|   0.280| 0.020|  0.105| 0.006
J0856-6137 |   3.10|  0.60|   3.300| 0.700|  0.110| 0.020
J0857-4424 |   3.30|  0.20|   0.980| 0.050|  0.230| 0.020
J0900-3144 |   6.00|  1.00|   3.000| 1.000|  0.900| 0.200
J0901-4624 |   0.70|  0.10|   0.510| 0.030|  0.180| 0.020
J0904-7459 |   8.00|  2.00|   2.000| 0.700|  0.300| 0.100
