#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-04-19T03:43:50 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ625e2ebd31d5ee	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/474/4629&tab:{J/MNRAS/474/4629/table2}&key:source=J/MNRAS/474/4629&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/474/4629/table2
#-order=I
#-out=Name
#-out=S1.4
#

#RESOURCE=yCat_74744629
#Name: J/MNRAS/474/4629
#Title: Polarimetry of 600 pulsars from 1.4GHz obs. (Johnston+, 2018)
#Table	J_MNRAS_474_4629_table2:
#Name: J/MNRAS/474/4629/table2
#Title: Pulsar polarization properties at 1.4 GHz
#Column	Name	(A10)	Name, JHHMM+DDMM	[ucd=meta.id;meta.main]
#Column	S1.4	(F7.2)	? Flux density at 1.4GHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
Name	S1.4
 	mJy
----------	-------
J0034-0721	  11.12
J0051+0423	   0.49
J0108-1431	   1.37
J0134-2937	   3.90
J0151-0635	   1.57
J0152-1637	   2.14
J0206-4028	   0.75
J0211-8159	   0.33
J0255-5304	   5.00
J0304+1932	  15.05
J0343-3000	   1.26
J0401-7608	   3.80
J0448-2749	   2.04
J0450-1248	   1.22
J0452-1759	  16.83
J0459-0210	   0.63
J0520-2553	   0.79
J0525+1115	   1.74
J0528+2200	   8.90
J0533+0402	   0.73
J0536-7543	   8.42
J0540-7125	   0.35
J0543+2329	  12.90
J0601-0527	   2.59
J0614+2229	   3.60
J0624-0424	   1.43
J0627+0706	   1.44
J0630-2834	  31.93
J0631+1036	   0.92
J0636-4549	   0.11
J0656-2228	   0.59
J0656-5449	   0.42
J0659+1414	   2.67
J0709-5923	   0.28
J0719-2545	   0.77
J0726-2612	   0.22
J0729-1448	   0.84
J0729-1836	   2.11
J0738-4042	 100.14
J0742-2822	  25.29
J0745-5353	   4.88
J0746-4529	   0.18
J0749-4247	   0.52
J0758-1528	   3.05
J0807-5421	   0.39
J0809-4753	   2.67
J0818-3232	   0.78
J0820-1350	   8.09
J0820-3826	   0.50
J0820-3921	   0.40
J0820-4114	   6.83
J0821-4221	   0.86
J0823+0159	   3.36
J0834-4159	   0.33
J0835-4510	1085.93
J0837+0610	   2.41
J0837-4135	  36.51
J0838-2621	   0.50
J0840-5332	   1.64
J0842-4851	   1.09
J0843-5022	   0.66
J0846-3533	   3.94
J0849-6322	   0.97
J0855-4644	   0.31
J0856-6137	   1.49
J0857-4424	   1.11
J0901-4624	   0.53
J0902-6325	   1.70
J0904-7459	   1.35
J0905-4536	   1.11
J0905-5127	   1.19
J0905-6019	   0.30
J0907-5157	  16.49
J0908-1739	   7.27
J0908-4913	  22.54
J0909-7212	   1.06
J0912-3851	   0.14
J0919-6040	   0.23
J0922+0638	   9.30
J0924-5302	   1.35
J0924-5814	   5.48
J0932-3217	   0.35
J0934-4154	   0.32
J0934-5249	   3.29
J0940-5428	   0.68
J0941-5244	   0.49
J0942-5552	   8.29
J0942-5657	   2.07
J0943+1631	   0.80
J0949-6902	   0.26
J0952-3839	
J0953+0755	 120.17
J0954-5430	   0.49
J0959-4809	   1.72
J1001-5507	   8.93
J1001-5559	   1.26
J1001-5939	
J1003-4747	   1.43
J1012-5857	   1.60
J1013-5934	   2.62
J1015-5719	   3.53
J1016-5345	   0.41
