#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-07-29T14:05:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62e3e8fc6493	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/342/1299&tab:{J/MNRAS/342/1299/table1}&key:source=J/MNRAS/342/1299/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/342/1299/table1
#-order=I
#-out=PSRJ
#-out=S1400MHz
#-out=e_S1400MHz
#

#RESOURCE=yCat_73421299
#Name: J/MNRAS/342/1299
#Title: Parkes Multi-Beam Pulsar Survey. III. (Kramer+, 2003)
#Table	J_MNRAS_342_1299_table1:
#Name: J/MNRAS/342/1299/table1
#Title: *Positions, flux densities and widths for 200 pulsars discovered in the Parkes Multibeam Pulsar Survey (PMPS)
#Column	PSRJ	(A10)	PSR J denomination	[ucd=meta.id;meta.main]
#Column	S1400MHz	(F6.3)	Mean flux density at 1400MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1400MHz	(F5.2)	rms uncertainty on S1400MHz	[ucd=stat.error]
PSRJ	S1400MHz	e_S1400MHz
 	mJy	mJy
----------	------	-----
0831-4406 	 0.430	 0.05
0834-4159 	 0.190	 0.03
0855-4644 	 0.200	 0.03
0855-4658 	 0.230	 0.03
0945-4833 	 0.390	 0.05
1000-5149 	 0.260	 0.04
1012-5830 	 0.080	 0.02
1013-5934 	 1.900	 0.20
1015-5719 	 0.900	 0.10
1019-5749 	 0.800	 0.09
1020-5921 	 0.450	 0.06
1022-5813 	 0.200	 0.03
1031-6117 	 0.120	 0.02
1035-6345 	 0.240	 0.03
1043-6116 	 0.910	 0.10
1052-5954 	 0.150	 0.03
1054-5943 	 0.310	 0.04
1055-6236 	 0.120	 0.02
1058-5957 	 0.510	 0.06
1103-6025 	 0.170	 0.03
1107-6143 	 0.380	 0.05
1117-6154 	 0.680	 0.08
1117-6447 	 0.140	 0.02
1124-5638 	 0.310	 0.04
1124-6421 	 0.190	 0.03
1128-6219 	 0.270	 0.04
1130-5826 	 0.180	 0.03
1132-5627 	 0.090	 0.02
1141-6545 	 3.300	 0.50
1148-6415 	 0.060	 0.02
1152-6012 	 0.170	 0.03
1154-6250 	 0.070	 0.02
1159-6409 	 0.470	 0.06
1201-6306 	 0.130	 0.02
1211-6324 	 0.450	 0.06
1214-5830 	 0.140	 0.02
1222-5738 	 0.110	 0.02
1225-6035 	 0.260	 0.04
1231-6303 	 1.500	 0.16
1233-6312 	 0.250	 0.04
1233-6344 	 0.070	 0.02
1235-6354 	 0.160	 0.03
1237-6725 	 0.360	 0.05
1243-5735 	 0.140	 0.02
1248-6344 	 0.120	 0.02
