#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-12-22T07:21:10 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61c2d19d3900ea	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/273/411&tab:{J/MNRAS/273/411/table3}&key:source=J/MNRAS/273/411&HTTPPRM:&
#-source=J/MNRAS/273/411/table3
#-order=I
#-out=PSRB
#-out=S408
#-out=e_S408
#-out=S606
#-out=e_S606
#-out=S925
#-out=e_S925
#-out=S1408
#-out=e_S1408
#-out=S1606
#-out=e_S1606
#
#RESOURCE=yCat_72730411
#Name: J/MNRAS/273/411
#Title: Multifrequency fluxes of 280 pulsars (Lorimer+ 1995)
#Table	J_MNRAS_273_411_table3:
#Name: J/MNRAS/273/411/table3
#Title: Fluxes for the 280 pulsars
#Column	PSRB	(a8)	Name of pulsar as in Taylor cat. <VII/156>	[ucd=meta.id;meta.main]
#Column	S408	(F6.1)	? Flux density at 408MHz	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S408	(F5.1)	? Mean error on S408	[ucd=stat.error]
#Column	S606	(F6.1)	? Flux density at 606MHz	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	e_S606	(F5.1)	? Mean error on S606	[ucd=stat.error]
#Column	S925	(F5.1)	? Flux density at 925MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S925	(F5.1)	? Mean error on S925	[ucd=stat.error]
#Column	S1408	(F5.1)	? Flux density at 1408MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1408	(F5.1)	? Mean error on S1408	[ucd=stat.error]
#Column	S1606	(F5.1)	? Flux density at 1606MHz	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	e_S1606	(F5.1)	? Mean error on S1606	[ucd=stat.error]
PSRB	S408	e_S408	S606	e_S606	S925	e_S925	S1408	e_S1408	S1606	e_S1606
 	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy	mJy
--------	------	-----	------	-----	-----	-----	-----	-----	-----	-----
0011+47 	  14.3	  2.3	   8.8	  2.1	     	     	  2.8	  1.3	     	
0031-07 	  51.5	 12.0	  50.8	 19.3	     	     	 10.8	  3.4	     	
0037+56 	   7.5	  0.5	   2.9	  0.1	     	     	  0.6	  0.1	  0.6	  0.1
0045+33 	   2.3	  0.3	   1.1	     	     	     	     	     	     	
0052+51 	   3.4	  0.4	   2.8	  0.3	     	     	  1.5	  0.2	     	
0053+47 	   3.0	  0.5	   1.9	     	     	     	     	     	     	
0059+65 	   8.5	  0.8	   3.4	  0.4	     	     	  1.2	  0.2	  0.8	  0.2
0105+65 	   9.8	  1.0	   4.1	  0.3	     	     	  0.9	  0.2	     	
0105+68 	   3.7	  0.4	   2.1	     	     	     	  0.4	  0.1	     	
0114+58 	   7.6	  0.6	   2.6	  0.2	  1.5	     	  0.3	  0.1	     	
0136+57 	  27.7	  2.2	  15.4	  0.7	 10.9	  0.8	  4.6	  0.4	  4.5	  0.4
0138+59 	  49.2	  5.0	  22.5	  1.9	 12.5	  2.4	  4.5	  0.9	     	
0144+59 	   6.6	  0.5	   3.4	  0.2	     	     	  2.1	  0.3	  1.6	  0.2
0148-06 	  37.8	 14.6	   9.6	  1.8	     	     	  1.3	  0.8	     	
0149-16 	  19.9	  3.7	  14.8	  6.2	     	     	  1.5	  0.4	     	
0153+39 	   3.9	  1.0	   1.6	     	     	     	     	     	     	
0154+61 	   6.5	  0.8	   4.3	  0.3	  1.7	  0.3	  1.9	  0.3	     	
0226+70 	   2.4	  0.2	   1.7	     	     	     	  0.3	  0.1	     	
0301+19 	  27.2	  2.8	  17.1	  3.0	 15.6	  6.5	  3.1	  1.4	     	
0320+39 	  33.8	  7.3	   8.8	  1.1	  2.1	  0.9	  0.9	  0.2	     	
0329+54 	1512.0	175.0	1337.0	182.0	385.0	 77.0	203.0	 56.0	     	
0331+45 	   6.4	  1.6	   4.8	  0.5	  1.8	  0.3	  0.8	  0.2	     	
