#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-07-29T13:32:58 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62e3e02d2396f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/372/777&tab:{J/MNRAS/372/777/psr}&key:source=J/MNRAS/372/777/psr&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/372/777/psr
#-order=I
#-out=PSRJ
#-out=S1.4GHz
#Simbad=Simbad
#

#RESOURCE=yCat_73720777
#Name: J/MNRAS/372/777
#Title: Parkes Multibeam Pulsar Survey. VI. (Lorimer+, 2006)
#Table	J_MNRAS_372_777_psr:
#Name: J/MNRAS/372/777/psr
#Title: Pulsar Survey: positions, flux densities,  pulse widths, periods, dispersion measures and derived parameters
#Column	PSRJ	(A9)	PSRJ designation (HHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	S1.4GHz	(F5.2)	Flux density at 1.4GHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
PSRJ	S1.4GHz
 	mJy
---------	-----
0733-2345	 0.07
0932-5327	 0.15
1001-5939	 0.15
1020-6026	 0.14
1107-5907	 0.18
1125-6014	 0.05
1148-5725	 0.12
1216-6410	 0.05
1308-5844	 0.21
1355-5747	 0.36
1357-6429	 0.44
1405-5641	 0.10
1439-5501	 0.42
1519-5734	 0.45
1519-6106	 0.19
1538-5732	 0.35
1558-5756	 0.19
1600-5916	 0.33
1604-4718	 0.22
1611-5847	 0.11
1617-4608	 0.15
1622-4347	 0.18
1624-4411	 0.48
1624-4613	 0.39
1627-4706	 0.10
1631-4155	 0.19
1634-5107	 0.35
1637-4450	 0.40
1638-3815	 0.62
1638-4725	 0.32
1643-4505	 0.28
1646-5123	 0.17
1649-3805	 1.00
1650-4921	 0.16
1653-4030	 0.40
1654-3710	 0.22
1656-3621	 0.29
1700-3611	 0.51
1700-4012	 0.13
1711-4322	 0.26
1715-3859	 0.54
1717-3953	 0.78
1718-4539	 0.08
1722-4400	 0.22
1724-4500	 0.05
1725-2852	 0.25
1728-4028	 0.69
1730-2900	 0.13
1732-3426	 0.24
1733-2533	 0.10
1733-2837	 0.07
1734-2415	 0.29
1736-2457	 0.52
1738-2330	 0.48
1739-3951	 0.12
1741-2719	 0.20
1742-3957	 0.14
1744-3922	 0.20
1750-2043	 0.24
1751-2857	 0.06
1753-1914	 0.13
1754-3510	 0.47
1755-1650	 0.13
1756-2251	 0.60
1758-2846	 0.20
1759-1736	 0.12
1801-1417	 0.17
1801-3458	 0.11
1802-2124	 0.77
1805-1504	 2.20
1808-1020	 0.23
1808-1726	 0.39
1808-2701	 0.15
1811-2439	 0.26
1812-2526	 0.18
1814-0618	 0.58
1816-0755	 0.17
1817-0743	 0.25
1819-1318	 0.16
1820-0509	 0.25
1821-0256	 0.19
1822-0848	 0.04
1824-0127	 0.59
1824-2233	 0.22
1824-2328	 0.32
1827-0750	 1.40
1828-2119	 0.38
1829+0000	 0.43
1830-0052	 0.04
1830-0131	 0.35
1830-1414	 0.10
1831-0952	 0.33
1832+0029	 0.14
1834-0031	 0.17
1834-1855	 0.48
1835-0349	 0.16
1835-0944	 0.41
1835-0946	 0.18
1835-1548	 0.06
1836-1324	 0.10
1837+0053	 0.34
1839-0436	 0.23
1839-1238	 0.37
1840+0214	 0.07
1840-0840	 1.00
1840-1207	 0.22
1841+0130	 0.06
1841-1404	 0.18
1842+0257	 0.26
1842+0358	 0.09
1842+0638	 0.21
1843-1507	 0.17
1845+0623	 0.33
1845-0826	 0.33
1845-1114	 0.52
1845-1351	 0.33
1846-0749	 0.35
1848-0601	 0.24
1848-1150	 0.21
1849+0409	 0.10
1851-0114	 0.28
1853+0853	 0.11
1853+1303	 0.40
1856-0526	 0.40
1901-0315	 0.09
1901+0435	 0.27
1901+0621	 0.47
1903-0258	 0.14
1903+0925	 0.20
1904-0150	 0.09
1906+0414	 0.23
1907+1149	 0.13
1910-0112	 0.07
1910+1256	 0.50
1911+1347	 0.08
1913+0904	 0.07
1914+0219	 0.75
1915+0227	 0.55
1915+1410	 0.10
1921+0812	 0.66
1927+0911	 0.16
1941+1341	 0.17

