#Pulsar Jname,Frequency (MHz),Flux Density (mJy),Flux Density Uncertainty (mJy)
J0034-0534,436,32,16
J0108-1431,436,32,9
J0134-2937,436,32,9
J0421-0345,436,32,4
J0437-4715,436,32,600
J0459-0210,436,32,11
J0613-0200,436,32,18
J0725-1635,436,32,4
J0749-4247,436,32,8
J0905-4536,436,32,13
J0905-5127,436,32,12
J0941-5244,436,32,11
J1034-3224,436,32,41
J1036-4926,436,32,9
J1045-4509,436,32,28
J1141-3107,436,32,10
J1143-5158,436,32,7
J1210-5559,436,32,23
J1225-5556,436,32,5
J1253-5820,436,32,20
J1320-3512,436,32,7
J1334-5839,436,32,18
J1335-3642,436,32,10
J1356-5521,436,32,12
J1358-2533,436,32,6
J1418-3921,436,32,24
J1455-3330,436,32,15
J1542-5034,436,32,21
J1549-4848,436,32,17
J1557-4258,436,32,40
J1603-2531,436,32,15
J1614-3937,436,32,12
J1625-4048,436,32,17
J1643-1224,436,32,75
J1648-3256,436,32,11
J1650-1654,436,32,13
J1700-3312,436,32,21
J1703-4851,436,32,22
J1705-3423,436,32,31
J1708-3426,436,32,36
J1730-2304,436,32,45
J1750-3503,436,32,29
J1808-0813,436,32,28
J1822-4209,436,32,7
J1823-0154,436,32,13
J1835-1106,436,32,30
J1837-0045,436,32,10
J1848-1414,436,32,13
J1852-2610,436,32,12
J1904+0004,436,32,16
J2005-0020,436,32,8
J2144-3933,436,32,16
J2145-0750,436,32,50
J2248-0101,436,32,11
J2346-0609,436,32,11
