#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-21T08:55:44 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ632ad0363712b1	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/335/275&tab:{J/MNRAS/335/275/pulsars}&key:source=J/MNRAS/335/275&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/335/275/pulsars
#-order=I
#-out=PSRJ
#-out=S1400MHz
#-out=e_S1400MHz
#

#RESOURCE=yCat_73350275
#Name: J/MNRAS/335/275
#Title: Parkes Multi-Beam Pulsar Survey new PSR (Morris+, 2002)
#Table	J_MNRAS_335_275_pulsars:
#Name: J/MNRAS/335/275/pulsars
#Title: All data for the 120 higher declination  pulsars discovered in PMPS
#Column	PSRJ	(a10)	PSR J designation (1)	[ucd=]
#Column	S1400MHz	(F5.2)	Median flux density at 1400MHz averaged over all the observations included in the timing solution	[ucd=]
#Column	e_S1400MHz	(F5.2)	rms uncertainty on S1400MHz	[ucd=]
PSRJ	S1400MHz	e_S1400MHz
 	mJy	mJy
----------	-----	-----
0729-1448 	 0.70	 0.10
0737-2202 	 0.47	 0.09
1733-3322 	 0.80	 0.20
1734-3333 	 0.50	 0.10
1735-3258 	 0.46	 0.09
1737-3102 	 0.60	 0.10
1737-3137 	 0.80	 0.20
1738-2955 	 0.29	 0.06
1739-3023 	 1.00	 0.20
1739-3049 	 0.50	 0.10
1739-3159 	 1.00	 0.20
1740-3052 	 0.70	 0.20
1741-2733 	 1.10	 0.20
1741-2945 	 0.60	 0.10
1741-3016 	 2.30	 0.50
1743-3153 	 0.50	 0.10
1744-3130 	 0.70	 0.10
1747-2802 	 0.50	 0.10
1749-2629 	 0.70	 0.20
1750-2438 	 0.50	 0.10
1751-2516 	 0.22	 0.04
1752-2821 	 0.32	 0.06
1755-2521 	 0.70	 0.20
1755-2725 	 0.50	 0.10
1757-2223 	 1.10	 0.20
1758-2206 	 0.41	 0.08
1758-2540 	 0.65	 0.01
1758-2630 	 0.41	 0.08
1759-1940 	 0.90	 0.20
1759-1956 	 0.41	 0.08
1759-2302 	 1.30	 0.30
1759-2307 	 0.70	 0.10
1759-2549 	 0.60	 0.10
1801-1855 	 0.47	 0.09
1801-1909 	 0.50	 0.10
1802-1745 	 0.21	 0.04
1802-2426 	 0.60	 0.10
1803-1857 	 0.40	 0.08
1804-2228 	 0.20	 0.04
1805-2032 	 0.70	 0.10
1805-2037 	 0.34	 0.07
1806-1920 	 1.90	 0.40
1806-2125 	 1.10	 0.20
1809-1429 	 0.60	 0.10
1809-1917 	 2.50	 0.50
1809-2004 	 0.90	 0.20
1810-1820 	 0.70	 0.20
1810-2005 	 2.00	 0.40
1811-1736 	 1.30	 0.30
1811-1835 	 0.42	 0.08
1812-2102 	 1.40	 0.30
1813-2113 	 0.60	 0.10
1814-1649 	 1.10	 0.20
1814-1744 	 0.70	 0.10
1815-1910 	 0.32	 0.06
1818-1519 	 2.10	 0.40
1818-1541 	 1.00	 0.20
1819-1408 	 0.50	 0.10
1819-1510 	 0.60	 0.10
1823-1347 	 0.41	 0.08
1823-1807 	 0.39	 0.08
1824-1159 	 0.70	 0.10
1824-1423 	 0.80	 0.20
1826-1526 	 0.46	 0.09
1827-0934 	 0.29	 0.06
1828-1101 	 2.90	 0.60
1828-1336 	 0.26	 0.05
1830-1135 	 1.10	 0.20
1831-1223 	 1.20	 0.20
1831-1329 	 0.50	 0.10
1832-0644 	 0.70	 0.10
1833-0559 	 0.60	 0.10
1833-1055 	 0.50	 0.10
1834-0602 	 0.80	 0.20
1835-0924 	 0.50	 0.10
1835-1020 	 1.90	 0.40
1837-0559 	 0.50	 0.10
1837-0604 	 0.70	 0.20
1837-1243 	 0.17	 0.03
1838-0453 	 0.33	 0.07
1838-1046 	 0.50	 0.10
1839-0321 	 0.27	 0.05
1839-0402 	 0.21	 0.04
1839-0459 	 0.30	 0.06
1839-06273	 0.29	 0.06
1839-0643 	 1.40	 0.30
1841-0348 	 1.40	 0.30
1842-0153 	 0.60	 0.10
1842-0415 	 0.36	 0.07
1843-0050 	 0.24	 0.05
1843-0355 	 0.80	 0.20
1843-0459 	 1.70	 0.30
1844-0310 	 0.70	 0.10
1847-0438 	 0.50	 0.10
1847-0605 	 0.80	 0.20
1849+0127 	 0.46	 0.09
1849-0317 	 0.70	 0.10
1850+0026 	 1.00	 0.20
1852+0305 	 0.80	 0.20
1853+0056 	 0.21	 0.04
1855+0422 	 0.45	 0.09
1856+0404 	 0.48	 0.10
1857+0210 	 0.30	 0.06
1858+0215 	 0.22	 0.04
1900+0227 	 0.33	 0.07
1901+0413 	 1.10	 0.20
1904+0412 	 0.23	 0.05
1905+0616 	 0.40	 0.08
1906+0912 	 0.32	 0.06
1907+0740 	 0.41	 0.08
1907+0534 	 0.36	 0.07
1908+0909 	 0.22	 0.04
1908+0839 	 0.49	 0.10
1909+0912 	 0.35	 0.07
1909+0616 	 0.33	 0.07
1910+0534 	 0.41	 0.08
1913+1145 	 0.43	 0.09
1913+1011 	 0.50	 0.10
1913+0832 	 0.60	 0.10
1920+1110 	 0.39	 0.08

