#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-16T05:33:01 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6281df60226e0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/626/A104&tab:{J/A+A/626/A104/tablea1}&key:source=J/A+A/626/A104/tablea1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/626/A104/tablea1
#-order=I
#-out=PSR
#-out=Sc135
#

#RESOURCE=yCat_36260104
#Name: J/A+A/626/A104
#Title: LOTAAS pulsar discoveries (Sanidas+, 2019)
#Table	J_A_A_626_A104_tablea1:
#Name: J/A+A/626/A104/tablea1
#Title: Known pulsars detected by LOTAAS
#Column	PSR	(A10)	PSR name	[ucd=meta.id;meta.main]
#Column	Sc135	(F6.1)	? Estimated flux density of the pulsars at 135MHz after applying the correction factor due to the offset in position	[ucd=phot.flux.density;em.radio.100-200MHz]
PSR	Sc135
 	mJy
----------	------
B0011+47  	  31.1
B0031-07  	
B0037+56  	  19.4
B0045+33  	  24.9
B0052+51  	   7.9
B0053+47  	  23.3
B0059+65  	   7.4
B0105+65  	  39.2
B0105+68  	   8.3
B0114+58  	  54.3
B0136+57  	 197.6
B0138+59  	 102.6
B0144+59  	  26.3
B0153+39  	   3.5
B0154+61  	   4.8
B0226+70  	  12.3
B0301+19  	
B0320+39  	 109.6
B0329+54  	
B0331+45  	  13.4
B0339+53  	
B0355+54  	  88.4
B0402+61  	  55.2
B0410+69  	  21.7
B0450+55  	  65.9
B0523+11  	  59.9
B0525+21  	  29.5
B0531+21  	
B0540+23  	  22.4
B0609+37  	  10.6
B0611+22  	  66.3
B0621-04  	  15.8
B0626+24  	
B0643+80  	  13.1
B0655+64  	 157.1
B0656+14  	   8.6
B0751+32  	  22.9
B0809+74  	
B0820+02  	  77.9
B0823+26  	 605.6
B0834+06  	
B0841+80  	   4.6
B0917+63  	  10.8
B0919+06  	
B0940+16  	  19.6
B0943+10  	 330.2
B0950+08  	2368.0
B1112+50  	  27.4
B1133+16  	 756.3
B1237+25  	 117.5
B1257+12  	 218.4
B1322+83  	  25.0
B1508+55  	
B1530+27  	  57.3
B1534+12  	  15.7
B1540-06  	
B1541+09  	 572.2
B1604-00  	 329.9
B1612+07  	  52.3
B1633+24  	  63.8
B1642-03  	 830.5
B1718-02  	  60.3
B1726-00  	  47.2
B1737+13  	  94.4
B1753+52  	   2.3
B1758-03  	
B1802+03  	  18.7
B1811+40  	  37.7
B1818-04  	 335.2
B1821+05  	 124.1
B1822+00  	  21.7
B1831-00  	  97.3
B1831-04  	 621.6
B1839+09  	  69.0
B1839+56  	  55.0
B1842+14  	 222.1
B1848+12  	  21.4
B1848+13  	  17.9
B1859+01  	 283.0
B1905+39  	  53.8
B1907+00  	  36.3
B1907+02  	  70.2
B1907+03  	  50.7
B1907+10  	 217.2
B1907-03  	  36.6
B1911-04  	 222.5
B1913+167 	   7.0
B1914+09  	 110.3
B1915+13  	 198.7
B1915+22  	  23.2
B1917+00  	  92.0
B1918+19  	
B1918+26  	  19.8
B1919+14  	  25.6
B1919+21  	
B1920+21  	  68.4
B1923+04  	  24.6
B1926+18  	  11.3
B1929+10  	
B1931+24  	  29.7
B1933+16  	 148.3
B1935+25  	  17.2
B1942-00  	  38.6
B1944+17  	  44.6
B1946+35  	
B1949+14  	  15.2
B1951+32  	  78.8
