J0100+8023,2.4(7),1.5(4),<0.3,<0.03
J0107+1322,2.8(10),1.8(7),0.46(9),0.07(3)
J0210+5845,3.4(8),3.1(6),0.8(2),<0.05
J0421+3255,27(6),16(4),<2.0,<0.16
J0454+4529,7.0(17),2.7(7),0.44(9),<0.04
J1017+3011,3.4(5),1.9(4),0.31(6),<0.06
J1624+5850,2.5(5),1.3(3),<0.4,<0.04
J1638+4005,3.1(5),1.7(3),0.34(7),<0.06
J1643+1338,11(4),9(3),2.6(5),0.11(3)
J1656+6203,2.6(5),1.2(3),<0.5,<0.04
J1713+7810,1.7(6),0.9(3),<0.6,<0.07
J1741+3855,3.1(7),2.0(5),<0.5,<0.06
J1745+1252,9.6(16),5.5(15),2.2(4),<0.08
J1749+5952,5.9(21),4.1(14),2.3(5),0.16(7)
J1810+0705,14(4),11(3),2.6(5),0.22(6)
J1916+3224,3.0(7),2.1(6),1.7(3),0.08(3)
J1957-0002,7.5(15),3.5(7),<0.5,<0.03
J2036+6646,5.0(10),2.1(6),-,<0.06
J2122+2426,4.0(12),2.0(9),-,0.07(2)
