#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-04-19T04:15:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ625e34e1332614	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:VII/189&tab:{VII/189/table1}&key:source=VII/189/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/189/table1
#-order=I
#-out=Jname
#-out=s400
#-out=s600
#-out=s1400
#

#RESOURCE=yCat_7189
#Name: VII/189
#Title: Catalog of Pulsars (Taylor+ 1995)
#Table	VII_189_table1:
#Name: VII/189/table1
#Title: Observed and Derived parameters (tables 1, 2 and 4 of the publication)
#Column	Jname	(a12)	J2000 pulsar name	[ucd=meta.id;meta.main]
#Column	s400	(F8.2)	Time averaged flux density at 400MHz in mJy	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	s600	(F8.2)	Time averaged flux density at 600MHz in mJy	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	s1400	(F8.2)	Time averaged flux density at 1400MHz in mJy	[ucd=phot.flux.density;em.radio.750-1500MHz]
Jname	s400	s600	s1400
 	mJy	mJy	mJy
------------	--------	--------	--------
0006+1834   	    0.20	    0.00	    0.00
0014+4746   	   14.00	    9.00	    3.00
0023-7204C  	    1.53	    1.54	    0.60
0024-7204D  	    0.95	    0.55	    0.00
0024-7204E  	    0.00	    0.00	    0.00
0024-7204F  	    0.00	    0.00	    0.00
0024-7204G  	    0.00	    0.00	    0.00
0024-7204H  	    0.00	    0.00	    0.00
0024-7204I  	    0.00	    0.00	    0.00
0024-7204J  	    0.00	    0.00	    0.00
0024-7204L  	    0.00	    0.00	    0.00
0024-7204M  	    0.00	    0.00	    0.00
0024-7204N  	    0.00	    0.00	    0.00
0034-0534   	   16.00	    0.00	    0.00
0034-0721   	   52.00	   51.00	   11.00
0040+5716   	    7.50	    2.90	    0.60
0045-7319   	    1.00	    0.00	    0.00
0048+3412   	    2.30	    0.70	    0.00
0051+04     	    0.00	    0.00	    0.00
0055+5117   	    3.40	    2.80	    1.50
0056+4756   	    3.00	    1.50	    0.00
0102+6537   	    8.50	    3.40	    1.20
0108+6608   	   10.00	    4.10	    0.90
0108+6905   	    3.70	    1.60	    0.40
0108-1431   	    0.00	    0.00	    0.00
0117+5914   	    7.60	    2.60	    0.30
0132-7010   	    4.40	    0.00	    0.00
0134-2937   	    9.00	    0.00	    2.40
0139+5814   	   28.00	   15.40	    4.60
0141+6009   	   49.00	   23.00	    4.50
