J0304+1932,14,7
J0525+1115,2.5,1.25
J0528+2200,15,7.5
J0543+2329,17,8.5
J0612+3721,0.8,0.4
J0614+2229,4,2
J0629+2415,6,3
J0659+1414,4,2
J0754+3231,1.6,0.8
J0826+2637,26.8,13.4
J0837+0610,10,5
J0922+0638,7,3.5
J0943+1631,3,1.5
J0946+0951,0.5,0.25
J0953+0755,86.4,43.2
J1136+1551,58,29
J1239+2453,19,9.5
J1532+2745,2.1,1.05
J1543+0929,11,5.5
J1607-0032,45,22.5
J1614+0737,2,1
J1728-0007,1.2,0.6
J1740+1311,14,7
J1805+0306,1.4,0.7
J1812+0226,0.5,0.25
J1823+0550,6,3
J1825+0004,1,0.5
J1841+0912,4,2
J1844+1454,4,2
J1848-0123,20,10
J1850+1335,1.7,0.85
J1851+0418,2.2,1.1
J1851+1259,0.9,0.45
J1852+0031,9,4.5
J1856+0113,0.6,0.3
J1857+0057,1.5,0.75
J1857+0210,0.6,0.3
J1901+0156,0.8,0.4
J1901+0331,7,3.5
J1902+0556,2.3,1.15
J1902+0615,1.2,0.6
J1903+0135,8,4
J1905-0056,1.6,0.8
J1906+0641,4,2
J1909+0007,1.1,0.55
J1909+0254,0.9,0.45
J1909+1102,3,1.5
J1910+0358,4,2
J1912+2104,0.9,0.45
J1913+1400,1.3,0.65
J1914+1122,0.7,0.35
J1915+1009,2.2,1.1
J1916+0951,1.8,0.9
J1916+1312,2.5,1.25
J1917+1353,7,3.5
J1918+1444,3,1.5
J1919+0021,1.4,0.7
J1920+2650,1.9,0.95
J1921+1419,1.3,0.65
J1921+1948,2.4,1.2
J1921+2153,15,7.5
J1922+2110,1.6,0.8
J1926+0431,1.4,0.7
J1926+1434,1,0.5
J1926+1648,2.8,1.4
J1927+2234,0.7,0.35
J1929+1844,0.3,0.15
J1930+1316,0.2,0.1
J1932+1059,151.4,75.7
J1932+2020,1.3,0.65
J1932+2220,1.2,0.6
J1933+1304,0.3,0.15
J1935+1616,56,28
J1935+1745,0.1,0.05
J1936+1536,0.5,0.25
J1937+2544,2.9,1.45
J1946+1805,44,22
J1946+2244,0.3,0.15
J1948+3540,10,5
J1952+3252,1.5,0.75
J1954+2923,7,3.5
J2002+3217,0.6,0.3
J2004+3137,2.1,1.05
J2018+2839,64,32
J2022+2854,62,31
J2029+3744,0.9,0.45
J2030+2228,1.2,0.6
J2037+1942,1.9,0.95
J2037+3621,2.3,1.15
J2046+1540,2,1
J2055+2209,2.8,1.4
J2055+3630,4,2
J2113+2754,3,1.5
J2116+1414,1.2,0.6
J2124+1407,0.5,0.25
J2212+2933,1.2,0.6
J2305+3100,2.5,1.25
J2317+2149,3,1.5
