S768 1.44(2) 1.06(3) 12.11(5)
S896 1.02(3) 1.8(4) 6.90(4)
S1024 1.31(1) 0.46(1) 4.93(1)
S1152 0.88(1) 0.41(1) 1.32(1)
S1280 0.88(1) 0.41(1) 0.88(1)
S1408 0.52(1) 0.35(1) 0.44(1)
S1536 0.53(1) 0.30(1) 0.31(1)
S1664 0.50(1) 0.30(1) 0.27(1)
S1792 0.26(1) 0.27(1) 0.29(1)
S1920 0.23(1) 0.21(1) 0.31(1)
S2048 0.23(1) 0.20(1) 0.20(1)
S2176 0.16(1) 0.18(1) 0.17(1)
S2304 0.16(1) 0.16(1) 0.17(1)
S2432 0.10(1) 0.07(1) 0.14(1)
S2560 0.12(1) 0.08(1) 0.10(1)
S2688 0.11(1) 0.06(1) 0.12(1)
S2816 0.08(1) 0.06(1) 0.12(1)
S2944 0.06(1) 0.05(1) 0.10(1)
S3072 0.07(1) 0.05(1) 0.10(1)
S3200 0.03(1) 0.05(1) 0.09(1)
S3328 0.05(1) 0.02(1) 0.08(1)
S3456 0.01(1) 0.02(1) 0.07(1)
S3584 0.04(1) 0.04(1) 0.06(1)
S3712 0.03(1) 0.06(1) 0.07(1)
S3840 0.04(1) 0.04(1) 0.05(1)
S3968 0.06(1) 0.02(1) 0.06(1)
