No.,Pulsar,14.8 GHz,,,,,22.7 GHz,,
,PSR,mean pulse energy [10,total observing time J M,half-power pulse width [degrees],,component separation [degrees],mean pulse energy [10-29Jm”2Hz',"total observing , time M",hal f-power pulse width [degrees]
1,0329+54,normal mode     0.7 ±0.4 abnormal mode 0.7,2.6 0.7,"o , + 0.2 3’6-0.5 4.2±0.6",comp. IIIa comp. IIIa,9.9 comp.,< 0.19 m-iva,2.8,
2,0355+54,0.4±0.2,1.6,5 7 + 0*5 - 1.1,,,< 0.14,9x0.4d,
3,0525+21,<0.9,0.8,,,,,,
4,0809+74,<0.7,0.6,,,,,,
5,0823+26,0.14±0.01,1.8,3 2 + 0*3 J -0.4,,,< 0.08,3.0,
6,0950+08,<0.14,2.8,,,,,,
7,1133+16,0.31,1.3,"1 I*0’1 1,1 -0.4",comp.,,,,
8,1237+25,<0.3,0.6,,,,,,
9,1642-03,<0.06,2.2,,,,,,
10,1706-16,0.12,1.5,1.8±0.4,,,< 0.18,2.8,
11,1749-28,<0.05,0.8,,,,,,
12,1929+10,0.38,0.9,5.7±0.3,,,0.05±0.01c,2’4c,5-8C
13,1933+16,<0.10,0.8,,,,,,
14,2016+28,<0.10,0.6,,,,,,
15,2020+28,0.12±0.06,2.2,2 0 + O’2 ^’U-0.4,comp. Ie,9.6 comp.,I-IIe       < 0.12,2.2,
16,2021+51,0.73,1.1,", . + 0.3 6’3-0.4",,,0.22±0.04c,3.3C,6.0c
17,2045-16,<0.20,0.6,,,,,,
18,2319+60,<2.0,0.8,,,,,,
