(1) (2) NoPSR,,(3) V (MHz),(4) S /     w \ (io-26—) \    m2Hz /,(5) £ \    m2Hz J,(6)            (7) Total number of,,(8) a (100-400) MHz,
,,,,,Observ.,Pulses,,
1,0012 + 47,102.5,0.03 ± 0.01,35,14,3560,0.42,
2,0031 -07,39,0.49 ± 0.21*,460,8,8000,,
,,61,0.46 ± 0.1,430,12,9400,,
,,85,0.74 ± 0.16,700,10,10000,,
,,102.5,0.40 ± 0.07,380,29,11070,1.75,
3,0105 + 65,102.5,0.03 ± 0.01,38,23,9300,0.13,
4,0136 + 57,102.5,0.02 ± 0.01,6,5,7250,-0.5,
5,0138 + 59,39,<0.08,<100,4,6000,,
,,61,0.09 ± 0.03,110,5,7500,,
,,85,0.26 ± 0.05,320,5,7500,,
,,102.5,0.14 + 0.03,170,21,11000,0.89,
6,0149 - 16,39,0.13 ± 0.12,110,2,2330,,
,,61,0.16 ± 0.08,130,4,4700,,
,,85,0.29 ± 0.24,240,2.,2330,1.67,
7,0153 + 61,102.5,0.02 ± 0.02*,50,11,2000,0.35,
8,0301 + 19,61,0.04 ± 0.03*,60,4,2800,,
,,85,0.05 ± 0.03*,65,5,3500,,
,,102.5,0.07 ± 0.02,95,19,4700,1.0,
9,0320 + 39,61,0.23 ± 0.12,700,3,360,,
,,102.5,0.16 ± 0.07,490,10,1000,1.0,
10,0329 + 54,39,0.36 ± 0.28*,260,5,11200,,
,,61,0.43 ±0.17,310,6,13400,,
,,85,0.97 ± 0.14,690,8,11700,,
,,102.5,1.05 ± 0.21,750,26,11000,-0.42,
11,0340 + 53,102.5,0.02 ± 0.01*,35,4,720,0.0,
12,0355 + 54,61,<0.16,<25,5,50700,,
,,85,0.07 ± 0.05,11,5,60800,,
,,102.5,0.09 ± 0.02,14,20,68700,0.32,
13,0450 - 18,61,<0.07,<40,3,5200,,
,,102.5,0.25±0.11,135,4,4200,0.86,
14,0459 + 47,102.5,<0.02,<12,6,2900,,
15,0523 + 11,61,0.08 ± 0.05*,30,2,5350,,
,,85,0.11 ±0.06*,40,4,10700,,
,,102.5,0.09 ± 0.04,33,4,4500,1.16,
16,0525 + 21,61,0.15 ± 0.04,560,4,1340,,
,,85,0.35 ± 0.09,1320,6,1610,,
,,102.5,0.11 ± 0.02,400,13,1200,0.43,
17,0540 + 23,102.5,0.03 ± 0.02*,7.6,13,12100,-0.2,
18,0611 +22,61,<0.15,<50,3,9010,,
,,85,0.18 ± 0.09,60,3,9010,,
,,102.5,0.12 ± 0.06*,40,14,14100,0.66,
19,0621 - 04,102.5,<0.04,<40,3,740,,
20,0628 - 28,39,0.76 + 0.15,940,16,8400,,
,,61,1.25 ± 0.25,1550,23,9700,,
,,85,1.37 ± 0.35,1700,16,10160,,
,,102.5,0.97 ± 0.19,1210,21,6600,1.12,
21,0656 + 14,61,<0.08,<30,3,7500,,
,,85,0.06 ± 0.05*,24,3,7500,,
,,102.5,0.09 ± 0.04,34,8,8000,1.55,
22,0727 - 18,102.5,<0.06,<30,4,7000,,
23,0740 - 28,102.5,0.30±0.15,50,2,12000,0.31,
24,0752 + 32,102.5,0.04 ± 0.03*,55,6,3300,0.66,
25,0809 + 74,39,0.76 ± 0.26,980,4,5000,,
,,61,1.87 ± 0.35,2420,17,13750,,
,,85,1.83 ± 0.43,2370,6,9820,,
,,102.5,1.63 ± 0.33,2110,21,14300,2.37,
26,0818 - 13,61,<0.32,<390,2,1500,,
,,85,0.27 ± 0.09,340,3,2300,,
,,102.5,0.16 ± 0.06,200,4,3100,0.66,
27,0820 + 02,102.5,<0.05,<40,2,500,,
28,0823 + 26,39,0.17 ± 0.15,90,1,1960,,
,,61,0.77 ±0.15,410,9,6300,,
,,85,1.07 ± 0.56,570,3,5850,,
,,102.5,0.58 + 0.11,310,13,8080,1.45,
29,0834 + 06,39,1.35 ± 0.32,1720,9,5100,,
,,61,2.09 ± 0.42,2660,21,6440,,
,,85,1.58 ± 0.32,2010,8,3900,,
,,102.5,1.59 ± 0.35,2030,22,4080,2.48,
30,0906 - 17,61,0.03 ± 0.02,12,2,4600,,
,,85,0.12 ± 0.05,47,2,4600,,
,,102.5,<0.20,<80,3,7000,,
31,0919 + 06,39,0.56 ± 0.23*,240,4,8700,,
,,61,0.35 ± 0.09,150,6,13050,,
,,85,0.77 ± 0.16,330,6,13050,,
