J1740+1000,6.1±2.7(4),0.9±0.3(3),<0.5,<0.05
B1800−21,,,7.60±0.50(2),
J1806−2125,,1.5±0.5(1),<0.6,<0.08
J1809−1917,,1.1±0.3(2),2.30±0.30(2),0.91±0.10(2)
B1820−14,,,0.26±0.09(1),
B1822−14,2.0±0.3(4)a,,,
B1823−13,,,3.60±0.10(2),
J1828−1101,,,1.20±0.20(1),0.09±0.05(2)
B1828−11,1.6±0.2(2)a,,0.40±0.10(2),0.06±0.01(1)
B1832−06,,3.5±0.6(1)b,0.55±0.10(2),0.09±0.05(2)
J1835−1020,5.8±1.7(1),2.7±0.4(2),0.88±0.09(2),0.14±0.08(2)
B1849+00,5.5±1.5(1)b,1.30±0.15(1),
J1857+0143,<0.8,0.5±0.2(2),0.19±0.06(3),0.03±0.02(1)
J1905+0616,2.1±0.6(1),0.4±0.1(2),,
J1907+0918,1.0±0.2(2),0.2±0.06(3),0.04±0.02(2),
