B1641−45 140.2±7.9 152.1±8.5 145.7±8.2
J1723−3659 1.1±0.3 1.4±0.3 1.3±0.3
B1822−14 <2.5 2.4±0.4 2.4±0.4
B1823−13 1.2±0.3 1.3±0.2 1.3±0.3
B1832−06 13.6±0.9 16.0±1.0 14.7±0.9
J1835−1020 1.6±0.4 2.4±0.3 2.1±0.3
J1841−0345 1.3±0.3 2.3±0.6 1.5±0.4
J1852−0635 1.3±0.3 1.8±0.2 1.6±0.2
J1901+0510 1.0±0.3 1.2±0.3 1.1±0.3
610 MHz
J1834−0731 3.4±0.5 4.5±0.5 4.0±0.5
J1834−0812 <0.85 <0.95 L
J1852−0635 5.2±0.4 5.2±0.4 5.2±0.4
J1856+0245 <0.75 <0.85 L
B1904+06 2.8±0.3 3.0±0.3 2.9±0.3
J1916+0748 <0.45 <0.45 L
J2007+2722 1.6±0.3 1.7±0.2 1.7±0.3
