Table 1. Pulse energies,,,,,,
Pulsar,Symbol,Frequency (MHz),Pulse energies (ICT^Jm^Hz’1),Error,Polar.,Ref.
PSR 0031-07,,80,820,c,z,[63]
,,408,50,c,,[39]
,,410,45,b,I,[45]
,,410,25,c,t,[48]
,,1420,19,b,I,[20]
,,1665,6,c,t,[48]
,,2388,1.9,0.35,z,[17]
,A,2700,<    19,,t,[32]
,A,8078,<     0.9,,z,[ 4]
PSR 0329 + 54,,81.5,300,c,,[44]
,,151,800,c,,[44]
,,408,1000,c,,[44]
,,410,1200,b,t,[48]
,,610,1000,c,,[44]
,,1415,95,a,t,[ 9]
,,1420,200,c,,[26]
,,1420,500,c,t,[33]
,,1420,80,b,,[23]
,,1420,88,20,I,[61]
,,1420,171,b,I,[20]
,,1665,68,c,t,[48]
,,2388,49.5 m,a,z,[16]
,,2388,58.4,4,z,[17]
,,2700,36,a,t,[32]
,,4850,6.4,c,I,[14]
,,8078,6 m,a,z,[ 4]
,,8100,14.3,a,t,[32]
,,10690,0.7,c,I,[72]
PSR 0525 + 21,,53,318,790,I,[10]
,,73.8,449,110,I,[10]
,,111.5,300,110,I,[10]
PSR 0525 + 21,A,112.5,<207000,,,[30]
,,196.5,150,40,1,[10]
,,320,500,c,,[73]
,,410,350,c,t,[47]
,,430,169,60,I,[10]
,,606,124,25,I,[10]
,A,1420,20,,I,[24]
,,1420,75,c,I,[20]
,,2388,14.2,4,z,[17]
,A,2700,<    75,,t,[32]
PSR 0531 + 21,*,10,228000,73000,,[ 6]
,*,15,73150,23000,,[ 6]
,*,26.5,40710,5000,,[ 6]
,*,38,16090,1700,,[ 6]
,A,38,<   450,,,[ 5]
,A,65,<   140,,,[57]
,**,73.8,160,100,,[57]
,*,81.5,6290,660,,[ 6]
,**,89.6,400,200,,[57]
,**,102,500,100,,[57]
,**,111.5,660,200,,[57]
,A,112.5,< 16000,,,[30]
,**,114.1,670,b,t,[49]
,**,127,540,b,t,[49]
,,147,430,b,t,[49]
,,158.75,375,b,t,[49]
,,196,200,c,I,[H]
,,196.5,210,50,,[57]
,,281,56,b,t,[49]
,,410,16,b,t,[46]
,,430,27,12,,[57]
,,611,7.2,2,,[57]
,,1664,0.15,a,t,[46]
,A,2388,<     0.4,,z,[17]
,A,15000,<     0.5,,,[57]
PSR 0628 - 28,,80,2400,b,z,[63]
,A,100,12000,,,[70]
,,150,340,c,t,[59]
,,408,500,c,,[39]
,,408,1000,c,,[67]
,A,1420,>    62,,I,[61]
,,1420,160,c,I,[22]
,,1420,37,b,I,[20]
,,2388,17,7,z,[17]
,,2650,29,c,t,[54]
,,8078,1.5,b,z,[ 4]
PSR 0809 + 74,,81.5,1200,c,,[44]
,,151,400,c,,[44]
,,408,200,c,,[44]
,,410,105,c,t,[48]
,,610,100,c,,[44]
,,1420,25,c,,[26]
,A,1420,<   116,,I,[20]
,,1665,8,c,t,[48]
,,2700,13,a,t,[32]
PSR 0823 + 26,,53,467,150,I,[10]
,,73.8,313,85,I,[10]
,,80,380,b,z,[63]
,,111.5,165,40,I,[10]
,,196.5,96,16,I,[10]
,,421,22,c,t,[48]
,,430,33,4,I,[10]
PSR 0823 + 26,,606,22,10,1,[10]
,,1420,15,c,,[26]
,,1420,11,6,I,[61]
,,1420,8,b,I,[20]
,,1420,25,b,,[23]
,,1665,3,c,t,[48]
,,2388,5,0.5,z,[17]
,A,2700,< 11,,t,[32]
,,4850,0.8,c,I,[14]
,,10690,0.3,c,I,[72]
PSR 0833 - 45,A,150,<    30,,I,[29]
,,297.2,535,b,t,[35]
,,300,180,50,I,[29]
,,301.2,612,b,t,[35]
,,408,200,c,,[38]
,,408,150,36,,[37]
,,408.7,209,b,t,[35]
,,409,266,b,t,[35]
,,410.2,266,b,t,[35]
,,466.6,181,b,t,[35]
,,467.7,218,b,t,[35]
,,468,200,b,t,[35]
,,628.4,291,b,t,[35]
,,629.1,281,b,t,[35]
,,636,200,40,I,[29]
,,1409.8,96,b,t,[35]
,,1410.5,96,b,t,[35]
,,1420,90,15,I,[29]
,,1420,120,27,t,[18]
,A,1420,47,,I,[24]
,,1665,61,c,t,[48]
,,1720,38,4,t,[56]
,,2288,80,27,t,[18]
,,2388,28.5,2,z,[17]
,,2700,23,3,t,[56]
,,2700,4.5,a,t,[32]
,,4830,4,c,t,[21]
,,8078,2.9,c,z,[ 4]
,,8100,0.54,a,t,[32]
PSR 0834 + 06,,53,2548,460,I,[10]
,,73.8,1821,260,I,[10]
,,80,1700,b,z,[63]
,N,81.5,382,c,,[55]
,,111.5,1274,130,I,[10]
,,150,480,c,t,[59]
,,151,290,c,z,[43]
,,196.5,560,170,I,[10]
,,408,71,c,I,[43]
,,410,100,c,t,[48]
,,430,70,c,,[13]
,,430,50,20,I,[10]
,,606,42,14,I,[10]
,,922,30,c,I,[43]
,,1420,10,c,,[26]
,A,1420,4,,I,[61]
,,1420,13,c,I,[20]
,,1665,4.5,c,t,[48]
,,2295,2,b,,[19]
,A,2700,<    25,,t,[32]
,A,4850,<     2.5,,I,[14]
PSR 0943+ 10,,53,439,190,I,[10]
,A,70,< 3500,,,[69]
,,73.8,209,40,I,[10]
PSR 0943 + 10,,80,300,b,,[62]
,,80,370,c,,[63]
,,80,1000,c,,[ 2]
,,111.5,158,50,1,[10]
,,196.5,38,20,I,[10]
,,318,12,8,I,[10]
,,606,1.65,1.1,I,[10]
PSR0950 + 08,,53,405,150,I,[10]
,,73.8,430,200,I,[10]
,,80,600,c,z,[63]
,,81.5,202,c,,[55]
,,111.5,481,250,I,[10]
,,150,6500,c,t,[59]
,,151,100,c,z,[43]
,,196.5,182,130,I,[10]
,,318,100,c,,[13]
,,408,100,c,I,[43]
,,410,65,c,t,[48]
,,430,129,90,I,[10]
,,606,164,110,I,[10]
,,1400,20,5,I,[ 3]
,,1420,30,c,,[26]
,,1420,15,b,,[23]
,,1420,17,3,I,[61]
,,1420,10,b,I,[20]
,,1665,'          13.5,c,t,[48]
,,2295,6,b,,[19]
,,2388,5.4 m,a,z,[16]
,,2388,6.5,0.5,z,[17]
,,2700,8,a,t,[32]
,A,4850,<     0.5,,I,[14]
,,5000,0.6,0.2,,[51]
,,5000,0.8,0.2,I,[ 3]
,,8078,0.5,c,z,[ 4]
,A,8448,<     0.5,,z,[16]
PSR 1133+16,,53,1105,260,I,[10]
,,73.8,784,150,I,[10]
,,80,1000,b,z,[63]
,,81.5,356,c,,[55]
,,111.5,772,190,I,[10]
,,150,330,c,t,[59]
,,151,400,c,z,[43]
,,196.5,558,260,I,[10]
,,318,100,c,,[13]
,,408,120,c,I,[43]
,,410,120,a,t,[48]
,,430,261,100,I,[10]
,,606,238,120,I,[10]
,,992,70,c,I,[43]
,,1400,59,30,I,[ 3]
,,1420,30,c,,[26]
,,1420,25,b,,[23]
,,1420,61,11,I,[61]
,,1420,36,b,I,[20]
,N,1665,3.3,c,t,[48]
,,2295,20,b,,[19]
,,2388,17.7 m,a,z,[16]
,,2388,15.7,1,z,[17]
,,2650,25,c,t,[54]
,,2700,16.6,a,t,[32]
,,4850,1.8,c,I,[14]
,,5000,4,0.5,I,[ 3]
,,8078,1.2,c,z,[ 4]
