#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-13T11:47:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ627e454ee2181	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/591/A134&tab:{J/A+A/591/A134/obssum}&key:source=J/A+A/591/A134/obssum&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/591/A134/obssum
#-order=I
#-out=PSR
#-out=l_Flux
#-out=Flux
#-out=e_Flux
#

#RESOURCE=yCat_35910134
#Name: J/A+A/591/A134
#Title: LOFAR census of non-recycled pulsars (Bilous+, 2016)
#Table	J_A_A_591_A134_obssum:
#Name: J/A+A/591/A134/obssum
#Title: Observation summary, DM and flux density measurements (table B1)
#Column	PSR	(A10)	Name of pulsar as in ATNF catalogue v.1.51	[ucd=meta.id;meta.main]
#Column	l_Flux	(A1)	Upper limit flag on Flux for non-detected pulsars	[ucd=meta.code.error;phot.flux]
#Column	Flux	(F6.1)	Mean HBA flux density in 110-188MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	e_Flux	(F6.1)	? rms uncertainty on mean HBA flux density	[ucd=stat.error;phot.flux]
PSR	l_Flux	Flux	e_Flux
 	 	mJy	mJy
----------	-	------	------
J0006+1834	 	   6.5	   3.3
B0011+47  	 	  35.0	  18.0
J0033+57  	<	   2.0	
B0037+56  	 	  33.0	  17.0
B0045+33  	 	  13.0	   6.0
B0052+51  	 	   9.4	   4.7
B0053+47  	 	   7.5	   3.8
B0105+65  	 	  41.0	  20.0
B0105+68  	 	   8.9	   4.5
J0106+4855	<	   1.6	
B0114+58  	 	  79.0	  39.0
B0136+57  	 	 250.0	 130.0
J0137+1654	 	   6.2	   3.1
J0152+0948	 	   1.7	   1.1
B0153+39  	 	   8.5	   4.3
J0205+6449	<	   2.2	
J0212+5222	 	  12.0	   6.0
B0226+70  	 	   5.3	   2.7
B0301+19  	 	  42.0	  21.0
B0320+39  	 	  92.0	  46.0
J0324+5239	 	   5.9	   3.0
J0329+1654	 	   2.3	   1.3
B0331+45  	 	  34.0	  17.0
B0402+61  	 	  29.0	  15.0
B0410+69  	 	  28.0	  14.0
J0413+58  	<	   1.9	
J0417+35  	 	   9.0	   4.5
J0419+44  	<	   1.9	
J0435+27  	 	   7.0	   3.5
B0450+55  	 	  91.0	  46.0
B0458+46  	 	  17.0	   8.0
B0523+11  	 	  34.0	  17.0
B0525+21  	 	 230.0	 120.0
B0531+21  	 	7500.0	3800.0
B0540+23  	 	  36.0	  18.0
B0609+37  	 	  21.0	  10.0
J0611+30  	 	  45.0	  23.0
B0626+24  	 	  73.0	  36.0
B0643+80  	 	  19.0	   9.0
J0646+0905	<	   3.1	
