#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-13T12:12:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ627e44a2e0534	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/635/A75&tab:{J/A+A/635/A75/obssum}&key:source=J/A+A/635/A75/obssum&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/635/A75/obssum
#-order=I
#-out=Name
#-out=MinFreq
#-out=MaxFreq
#-out=l_S
#-out=S
#-out=e_S
#Simbad=Simbad
#

#RESOURCE=yCat_36350075
#Name: J/A+A/635/A75
#Title: LOFAR census of non-recycled pulsars sample (Bilous+, 2020)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_635_A75_obssum:
#Name: J/A+A/635/A75/obssum
#Title: Observation summary, flux densities, dispersion measures
#Column	Name	(A10)	Name of pulsar as in ATNF catalogue v.1.51	[ucd=meta.id;meta.main]
#Column	MinFreq	(F5.2)	Lower edge of analysed frequency range	[ucd=em.freq]
#Column	MaxFreq	(F5.2)	Upper edge of analysed frequency range	[ucd=em.freq]
#Column	l_S	(A1)	[<=] Upper limit flag for flux density measurement	[ucd=meta.code.error]
#Column	S	(F6.1)	Mean flux density in MinFreq-MaxFreq frequency range or upper limit for non-detected pulsars	[ucd=phot.flux.density;em.radio]
#Column	e_S	(I4)	? Uncertainty in mean flux density [NULL integer written as an empty string]	[ucd=stat.error]
Name	MinFreq	MaxFreq	l_S	S	e_S
 	MHz	MHz	 	 	
----------	-----	-----	-	------	----
B0011+47  	42.12	76.15	=	  45.0	  25
B0045+33  	42.35	77.09	<	  56.0	
B0052+51  	42.10	77.23	<	  22.6	
B0053+47  	30.37	77.24	=	 110.0	  60
B0105+68  	42.05	77.24	<	 140.7	
B0114+58  	42.41	77.19	<	  99.8	
J0137+1654	42.15	77.29	<	  42.8	
B0136+57  	42.15	77.19	<	  47.8	
B0153+39  	42.14	77.13	<	  52.6	
B0226+70  	42.26	77.05	=	  49.0	  29
B0301+19  	42.13	77.13	=	  61.0	  33
B0320+39  	42.08	77.29	=	  76.0	  39
J0324+5239	42.16	77.18	<	  70.5	
B0410+69  	42.18	77.29	<	  38.4	
J0417+35  	42.08	77.26	<	  38.0	
B0450+55  	42.23	76.93	=	 110.0	  60
B0531+21  	41.89	77.28	<	  70.6	
J0611+30  	42.13	77.22	=	  89.0	  46
B0609+37  	42.10	77.22	=	  46.0	  25
B0626+24  	42.04	77.24	<	  51.5	
B0643+80  	42.17	77.09	<	  66.8	
B0655+64  	42.29	77.23	=	  86.0	  49
B0656+14  	42.06	77.06	<	  94.8	
B0751+32  	42.09	77.35	=	  21.0	  13
B0809+74  	30.64	77.17	=	1400.0	 700
B0823+26  	30.37	77.19	=	 700.0	 350
B0841+80  	42.33	77.18	<	  24.5	
B0917+63  	42.09	77.34	=	  41.0	  22
B0940+16  	42.01	77.19	<	  61.2	
J0943+22  	42.08	77.53	<	  39.2	
B0943+10  	30.40	77.17	=	 400.0	 200
J0947+27  	42.11	77.23	<	  19.7	
B1112+50  	30.37	77.24	=	  43.0	  22
B1133+16  	30.39	77.21	=	 880.0	 440
J1238+21  	42.11	77.26	=	  37.0	  20
B1237+25  	42.11	77.25	=	 150.0	  80
J1313+0931	42.25	76.00	=	  24.0	  19
B1322+83  	42.19	77.17	=	  20.0	  13
J1503+2111	42.18	77.27	<	  35.9	
