#
#   VizieR Astronomical Server vizier.unistra.fr
#    Date: 2025-09-05T09:24:45 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-05T09:24:45	  Query execution date
#INFO	request=https://vizier.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-x.rs=10&-source=J/ApJS/271/23/table3,J/ApJS/271/23/table1,J/ApJS/271/23/table2&-order=I&-out=PSR&-out=Smin&-out=S&-out=e_S&-sort=e_S&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=3
#  3 catalogues with potential matches were examined.
#
#RESOURCE=yCat_22710023
#Name: J/ApJS/271/23
#Title: The Arecibo Observatory 327MHz (AO327) pulsars (Deneva+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/271/23	    IVOID of underlying data collection
#INFO	creator=Deneva J.S.	    First author or institution
#INFO	cites=bibcode:2024ApJS..271...23D	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/271/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22710023	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_271_23_table3:
#Name: J/ApJS/271/23/table3
#Title: *List of pulsar detections
#Column	PSR	(A11)	Pulsar Name	[ucd=meta.id;meta.main]
#Column	Smin	(F5.2)	[0.14/2.2] 6{sigma} detection threshold	[ucd=phot.flux.density;em.radio.200-400MHz;stat.min]
#Column	S	(F5.1)	[0.4/223.3] Uncalibrated flux density (2)	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S	(F4.1)	[0.2/28] Uncertainty in S (2)	[ucd=stat.error]
#PSR|Smin|S|e_S
B0045+33   | 0.21|  7.6| 1.0
B0045+33   | 0.21|  4.9| 0.7
B0301+19   | 0.32| 21.1| 2.7
B0525+21   | 1.47| 47.5| 4.7
B0609+37   | 0.27| 16.0| 2.0
B0611+22   | 1.04| 26.7| 3.5
B0626+24   | 0.33| 41.8| 5.3
B0820+02   | 0.44| 46.6| 5.9
B0919+06   | 0.32| 43.2| 5.4
B1530+27   | 0.34| 12.3| 1.6
B1534+12   | 0.41|  5.6| 0.8
B1633+24   | 0.35| 17.1| 2.2
B1639+36A  | 0.40|  1.1| 0.3
B1737+13   | 0.34| 17.8| 2.3
B1852+10   | 1.02| 19.7| 2.5
B1859+01   | 0.52| 27.9| 3.6
B1907+10   | 0.68| 91.1|11.5
B1925+188  | 1.29|  2.4| 0.7
B1937+24   | 0.53|  6.6| 0.9
B1946+35   | 0.54|223.3|28.0
B1951+32   | 1.18| 19.3| 2.5
B1952+29   | 0.35|  4.5| 0.7
B1953+29   | 1.01| 39.8| 5.0
B2000+32   | 0.66|  5.5| 1.5
B2002+31   | 0.30| 11.0| 1.5
B2025+21   | 0.47|  1.6| 0.6
B2027+37   | 0.73| 23.1| 3.0
B2034+19   | 0.24|  2.1| 0.4
B2044+15   | 0.35|  6.8| 1.0
B2053+21   | 0.35| 11.2| 1.4
B2053+36   | 0.53| 37.1| 4.7
B2110+27   | 0.20| 10.5| 1.4
B2110+27   | 0.20|  8.3| 1.1
B2210+29   | 0.37| 11.5| 1.5
B2303+30   | 0.50| 23.7| 3.1
B2315+21   | 0.21| 26.0| 3.3
J0006+1834 | 0.79|  1.5| 0.5
J0039+35   | 0.23|  0.5| 0.3
J0051+0423 | 0.48| 39.5| 5.0
J0107+1322 | 0.32|  1.3| 0.4
J0122+1416 | 0.38|  1.8| 0.5
J0137+1654 | 0.25|  1.6| 0.3
J0137+1654 | 0.25|  6.6| 0.9
J0152+0948 | 0.21|  0.9| 0.3
J0154+1833 | 0.50| 12.6| 1.6
J0158+21   | 0.34|  0.7| 0.4
J0220+3626 | 1.49|  4.6| 0.8
J0227+3356 | 0.23|  1.2| 0.3
J0229+20   | 0.26|  0.4| 0.3
J0229+20   | 0.27|  0.6| 0.4
J0241+16   | 0.28|  0.7| 0.4
J0241+16   | 0.28|  1.5| 0.6
J0302+2252 | 0.28|  9.5| 1.2
J0305+11   | 0.26|  0.4| 0.3
J0329+1654 | 0.32|  1.9| 0.4
J0337+1715 | 1.06|  9.2| 1.2
J0348+0432 | 0.40|  6.8| 0.9
J0407+1607 | 0.99| 20.7| 2.6
J0421+3255 | 0.93|  3.7| 0.6
J0435+2749 | 0.33|  6.4| 0.9
J0538+2817 | 0.51| 17.2| 2.2
J0540+3207 | 0.28|  5.3| 0.7
J0546+2441 | 0.51|  3.2| 0.9
J0605+3757 | 0.71|  2.4| 0.4
J0611+30   | 0.34|  2.3| 0.8
J0612+37216| 0.32|  5.1| 0.7
J0613+3731 | 0.45|  2.9| 0.6
J0613+3731 | 0.57|  5.2| 0.9
J0658+2936 | 0.28|  1.3| 0.3
J0711+0931 | 0.48|  6.5| 1.0
J0732+2314 | 2.00| 17.1| 2.2
J0732+2314 | 2.18| 17.9| 2.3
J0751+1807 | 0.83|  7.1| 0.9
J0813+22   | 0.60|  0.7| 0.3
J0815+0939 | 0.46| 16.4| 2.1
J0848+16   | 0.24|  1.8| 1.2
J0857+3349 | 0.25|  1.1| 0.3
J0927+2345 | 0.23|  1.4| 0.3
J0928+06   | 0.17|  0.6| 0.4
J0928+06   | 0.17|  0.6| 0.4
J0928+30   | 0.17|  0.6| 0.2
J0935+33   | 0.29|  0.8| 0.2
J0943+2253 | 0.22|  2.1| 0.4
J0947+2740 | 0.33|  3.5| 0.5
J0947+2740 | 0.32|  3.7| 0.5
J1046+0304 | 0.43|  2.4| 0.4
