#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-30T04:24:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ62e4b1602e0208
#INFO	-out.max=unlimited
#INFO	queryParameters=11
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/other/RAA/21.107&tab:{J/other/RAA/21.107/table2}&key:source=J/other/RAA/21.107/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/RAA/21.107/table2
#-order=I
#-out=PSR
#-out=S1.25GHz
#

#RESOURCE=yCat_1040002102
#Name: J/other/RAA/21.107
#Title: New pulsars from GGPS (Han+, 2021)
#Table	J_other_RAA_21_107_table2:
#Name: J/other/RAA/21.107/table2
#Title: A List of Pulsars Discovered by the GPPS Survey (See http://zmtt.bao.ac.cn/GPPS/ for Updates)
#Column	PSR	(A12)	Name, JHHMM+DDMMg or JHHMM+DDMMBg (G1)	[ucd=meta.id;meta.main]
#Column	S1.25GHz	(F5.1)	Flux density at 1.25GHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
PSR	S1.25GHz
 	uJy
------------	-----
J1901+0659g 	 51.8
J1924+1923g 	 54.7
J1904+0823g 	 22.0
J1928+1915g 	  5.1
J1838+0044g 	 72.9
J1924+1932g 	 20.8
J1925+1629g 	 87.8
J1905+0656g 	 27.6
J1904+0852g 	 36.0
J1857+0214g 	 56.2
J1947+2011g 	  9.8
J1917+1259g 	 36.1
J1930+1403g 	 94.1
J1852+0056g 	 37.9
J1859+0430g 	 28.0
J1900+0405g 	 32.5
J1906+0822g 	  9.5
J1850-0020g 	 44.2
J2052+4421g 	280.3
J1854+0012g 	 11.8
J1912+1105g 	 17.7
J1854-0033g 	 17.7
J1917+1411g 	 12.5
J1905+0450g 	  8.1
J1926+1857g 	 30.4
J1855+0139g 	 36.8
J1849-0014g 	107.3
J1901+0712g 	 43.1
J1859+0434g 	 15.2
J1853+0013g 	 17.0
J1908+0811g 	 19.1
J1924+1343g 	 32.2
J1904+0358g 	 14.2
J1914+1029g 	 11.8
J1848+0127g 	 36.9
J1904+0535g 	 45.4
J1904+0519g 	 77.4
J1858-0024g 	 25.8
J1904+0553g 	825.6
J1912+0934g 	 30.3
J1933+2038g 	 22.9
J1852-0024g 	 35.2
J1905+0758g 	 14.7
J2017+2819g 	 46.2
J2009+3122g 	 17.1
J1956+2826g 	 13.2
J1924+1510g 	  9.6
J1903+0845g 	 18.1
J1910+1054g 	 15.5
J1930+1357g 	 27.9
J1837+0033g 	 10.1
J1847+0133g 	 10.1
J1926+1631g 	 46.4
J1952+2702g 	 14.0
J1911+0751g 	 51.9
J1915+0832g 	 15.9
J1910+1117g 	 17.5
J1926+1452g 	  5.5
J1924+1509g 	 14.1
J1917+1121g 	  9.2
J1855+0511g 	 29.9
J1929+1615g 	 11.7
J1900+0213g 	 24.7
J1952+2836g 	 95.4
J1936+1952g 	 29.3
J1859+0026g 	 29.1
J1856+0615g 	 38.8
J1853+0312g 	 12.0
J1855+0455g 	 40.3
J1858+0609g 	 14.0
J1914+0805g 	 17.4
J1857+0224g 	 13.1
J1903+0534g 	 41.1
J1928+1809g 	 29.9
J1856+0011g 	  8.6
J2022+3845g 	 54.7
J2005+3411g 	 81.9
J1921+1505g 	 14.5
J1904+0415g 	 53.0
J1859+0126g 	 35.9
J1918+1340g 	 43.7
J1911+0939g 	 25.8
J1852+0158g 	 35.8
J1849+0037g 	 65.8
J2051+4434g 	341.8
J1920+1515g 	 19.0
J2021+4024g 	 88.1
J1921+1340g 	 30.8
J1853+0023g 	 45.3
J1903+0433g 	 14.3
J1859+0239g 	 10.1
J1906+0646g 	 48.4
J1849+0001g 	 12.7
J1858+0026g 	 41.9
J1850+0011g 	 30.5
J1849+0009g 	 14.1
J1850-0002g 	 30.3
J1852-0002g 	 41.5
J1921+1259g 	 14.6
J1903+0839g 	181.1
J1903+0851g 	 14.8
J1906+0757g 	 14.5
J1852+0018g 	 29.0
J1904+0836g 	 17.3
J1900+0715g 	 60.5
J2139+4738g 	 12.2
J1838+0022g 	 32.3
J1848+0150g 	 12.4
J1844+0028g 	 53.8
J1853-0003g 	  7.1
J1949+2516g 	  5.3
J1845-0028g 	 10.2
J1901+0020g 	 41.6
J1908+1035g 	 11.6
J1925+1532g 	 20.6
J1849+0225g 	 13.8
J1854+0131g 	312.9
J2030+3944g 	218.4
J1849-0019g 	  8.9
J1907+0709g 	 83.8
J1928+1816g 	 26.2
J1914+1228g 	 22.9
J1955+2912g 	  5.5
J1838+0027g 	  7.5
J1858+0244g 	 73.0
J1847+0110g 	 37.4
J1907+0658g 	 54.1
J1908+0949g 	 19.4
J1923+1521g 	 15.5
J1919+1527g 	  7.1
J1859+0313g 	 60.3
J1858+0310g 	119.0
J1856+0243g 	114.5
J1909+0657g 	 87.2
J1855+0339g 	 12.3
J2011+3006g 	312.3
J1904+0207g 	 17.9
J1924+2027g 	 82.5
J1855+0228g 	 37.4
J1909+1132g 	 14.8
J1914+1054g 	 33.0
J1913+1054g 	 24.1
J1928+1852g 	 20.0
J1918+1540g 	 15.9
J1918+1536g 	 10.0
J1840+0012g 	164.9
J1916+1030Bg	 11.4
J1855+0235g 	 21.8
J1913+1037g 	  8.1
J1939+2352g 	  7.5
J1855+0424g 	 11.7
J2030+3929g 	 35.2
J1905+0936g 	 46.8
J1950+2352g 	 32.4
J1923+2022g 	  8.4
J1923+1143g 	  9.2
J1917+1046g 	 14.1
J1856+0211g 	 10.7
J1933+1923g 	 16.3
J1918+1547g 	 16.5
J1854+0704g 	 34.6
J1859+0658g 	 35.6
J1928+1902g 	  7.1
J1851+0056g 	 13.4
J1847+0614g 	 50.5
J1916+0741g 	 29.8
J1917+0743g 	 22.7
J1904+0603g 	 23.5
J1912+1417g 	 39.8
J1950+2556g 	 20.1
J1852+0309g 	 89.7
J1852+0857g 	 21.5
J1852-0033g 	 18.9
J1852-0044g 	556.1
J1916+0748g 	 14.3
J1929+1937g 	 17.0
J1852-0039g 	 85.5
J1909+0905g 	 12.0
J1928+1839g 	  8.2
J1855+0327g 	 13.7
J1911+1252g 	 26.5
J1905+0920g 	  9.6
J1927+1430g 	 12.8
J1849+0339g 	 55.2
J1902+0809g 	 10.0
J2013+3100g 	 26.9
J2030+3818g 	 17.3
J1853+0237g 	 38.1
J2018+3418g 	  4.9
J1953+1844g 	121.8
J2008+2755g 	110.5
J1924+2037g 	  3.3
J1853-0008g 	 13.8
J1929+1731g 	 13.4
J1909+0930g 	 16.0
J1925+1636g 	 11.2
J1936+2036g 	 28.6
J1849+0016g 	 53.8
J1852-0055g 	 51.9
J1901+0315g 	 26.9
J2023+2853g 	161.1
