#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-30T05:29:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62e4bc9d3384d6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/352/1439&tab:{J/MNRAS/352/1439/psr}&key:source=J/MNRAS/352/1439/psr&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/352/1439/psr
#-order=I
#-out=PSRJ
#-out=S1.4
#-out=e_S1.4
#Simbad=Simbad
#

#RESOURCE=yCat_73521439
#Name: J/MNRAS/352/1439
#Title: Parkes Multi-Beam Pulsar Survey. IV. (Hobbs+, 2004)
#Table	J_MNRAS_352_1439_psr:
#Name: J/MNRAS/352/1439/psr
#Title: Pulsars discovered in the Parkes multibeam pulsar survey (tables 1, 2 and 4 of paper)
#Column	PSRJ	(A10)	PSRJ designation	[ucd=meta.id;meta.main]
#Column	S1.4	(F6.3)	Flux density at 1400MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F6.3)	rms uncertainty on S1400MHz	[ucd=stat.error]
PSRJ	S1.4	e_S1.4
 	mJy	mJy
----------	------	------
0843-5022 	 0.310	 0.040
1016-5857 	 0.460	 0.050
1021-5601 	 0.370	 0.050
1032-5206 	 0.190	 0.030
1052-6348 	 0.110	 0.020
1054-6452 	 0.250	 0.040
1055-6022 	 0.160	 0.030
1106-6438 	 0.190	 0.030
1152-5800 	 0.120	 0.020
1156-5707 	 0.190	 0.030
1210-6550 	 0.170	 0.030
1337-6306 	 0.110	 0.020
1352-6803 	 0.680	 0.080
1415-6621 	 0.710	 0.080
1420-5625 	 0.130	 0.020
1424-5556 	 0.380	 0.050
1435-5954 	 3.600	 0.400
1437-6146 	 0.240	 0.030
1502-5653 	 0.390	 0.050
1519-6308 	 0.320	 0.040
1538-5551 	 0.250	 0.040
1542-5133 	 0.270	 0.040
1547-5750 	 0.230	 0.030
1551-5310 	 0.540	 0.060
1609-4616 	 0.380	 0.050
1620-5414 	 0.130	 0.020
1632-4509 	 0.160	 0.030
1632-4757 	 0.300	 0.040
1638-4417 	 0.210	 0.030
1658-4958 	 0.870	 0.100
1700-3919 	 0.230	 0.030
1702-4217 	 0.500	 0.060
1708-4522 	 0.220	 0.030
1715-4254 	 0.070	 0.020
1718-3714 	 0.230	 0.030
1718-3718 	 0.180	 0.030
1724-3149 	 0.360	 0.050
1726-4006 	 0.210	 0.030
1727-2739 	 1.600	 0.170
1730-3353 	 0.380	 0.050
1731-3123 	 0.290	 0.040
1732-4156 	 0.220	 0.030
1733-3030 	 0.200	 0.030
1733-4005 	 0.490	 0.060
1736-2819 	 0.160	 0.030
