#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-30T05:31:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62e4bca03385ca	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/352/1439&tab:{J/MNRAS/352/1439/table7}&key:source=J/MNRAS/352/1439/table7&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/352/1439/table7
#-order=I
#-out=PSRJ
#-out=S1.4
#-out=e_S1.4
#Simbad=Simbad
#

#RESOURCE=yCat_73521439
#Name: J/MNRAS/352/1439
#Title: Parkes Multi-Beam Pulsar Survey. IV. (Hobbs+, 2004)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_352_1439_table7:
#Name: J/MNRAS/352/1439/table7
#Title: Results for 281 previously known pulsars
#Column	PSRJ	(A10)	PSRJ designation	[ucd=meta.id;meta.main]
#Column	S1.4	(F5.2)	? New 1400MHz flux density	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S1.4	(F5.2)	? rms uncertainty on S1.4	[ucd=stat.error]
PSRJ	S1.4	e_S1.4
 	mJy	mJy
----------	-----	-----
J0725-1635	 0.33	 0.04
J0729-1836	 1.40	 0.15
J0742-2822	15.00	 1.50
J0820-3927	 0.32	 0.04
J0820-4114	 5.20	 0.50
J0821-4217	     	
J0828-3417	 0.25	 0.04
J0835-4510	     	
J0837-4135	16.00	 1.60
J0842-4851	 0.62	 0.07
J0846-3533	 2.70	 0.30
J0857-4424	 0.88	 0.10
J0904-4246	 0.60	 0.07
J0905-4536	 0.83	 0.09
J0905-5127	 1.10	 0.12
J0907-5157	 9.30	 0.90
J0908-4913	10.00	 1.00
J0924-5302	 1.10	 0.12
J0924-5814	 4.30	 0.40
J0934-5249	 1.20	 0.13
J0941-5244	 0.28	 0.04
J0942-5552	10.00	 1.00
J0942-5657	 0.72	 0.08
J0955-5304	 0.94	 0.10
J1001-5507	 6.30	 0.60
J1012-5857	 1.70	 0.18
J1016-5345	 0.82	 0.09
J1017-5621	 2.90	 0.30
J1032-5911	 0.93	 0.10
J1038-5831	 0.79	 0.09
J1042-5521	 0.62	 0.07
J1046-5813	 1.10	 0.12
J1048-5832	 6.50	 0.70
J1056-6258	21.00	 2.00
J1059-5742	 1.20	 0.13
J1104-6103	 0.24	 0.03
J1105-6107	 0.75	 0.08
J1107-5947	 0.43	 0.05
J1110-5637	 1.80	 0.19
J1112-6613	     	
J1114-6100	 2.00	 0.20
J1121-5444	 1.30	 0.14
J1123-6259	 0.56	 0.07
J1123-6651	 0.36	 0.05
J1126-6054	 1.00	 0.11
J1133-6250	 2.90	 0.30
J1137-6700	 1.20	 0.13
