PSRJ,flux(mJy),flux_error(mJy),mr,W50,W10
J0034−0721,6,1,0.91,23.4,43.7
J0134−2937,9,1,0.37,14.2,23.8
J0151−0635,6,2,1.21,30.5,38.4
J0152−1637,3,2,2.03,8.1,11.9
J0206−4028,2.2,0.5,0.87,4.6,12.4
J0255−5304,7,2,1.66,6.6,9.7
J0401−7608,5,2,1.38,13,19.4
J0418−4154,2.2,0.3,0.68,7.1,13.2
J0437−4715,300,50,1.18,14,111.4
J0450−1248,4,0.7,0.56,18.7,31.1
J0452−1759,50,10,1.06,17.9,24.4
J0525+1115,5.7,0.9,0.37,15.2,20.7
J0533+0402,3.6,0.6,0.4,7.2,14.7
J0536−7543,23,3,0.66,21.5,29.9
J0601−0527,6.2,0.7,0.38,9.3,22.6
J0627+0706i,5.8,0.7,0.42,–,30.9
J0630−2834,90,30,1.12,19.3,37.5
J0646+0905,5.9,0.9,0.54,11.8,22.3
J0659+1414,8,2,0.72,15.5,26.7
J0729−1836,5.6,0.6,0.5,13.4,19.4
J0737−3039Ai,8,1,0.41,–,106.9
J0738−4042,210,10,0.25,26.1,40.1
J0742−2822,86,7,0.44,9.2,16.2
J0758−1528,4.1,0.6,0.75,4.6,8.9
J0809−4753,11,1,0.29,7.4,16
J0820−1350,24,3,0.36,6.4,10.7
J0820−4114,32,3,0.3,94.8,118.3
J0837−4135,77,6,0.33,3.8,7.6
J0840−5332,6,0.4,0.22,10.5,17.6
J0842−4851,18,7,0.64,4.9,187.8
J0846−3533,9.2,0.9,0.35,6.8,16
J0855−3331,2.9,0.5,0.62,6,9.5
J0907−5157,22,2,0.27,12,34.2
J0908−4913i,35,3,0.57,–,47.8
J0922+0638,10,2,0.86,8.7,15.8
J0924−5814,13,2,0.58,19.9,38.2
J0934−5249,4.7,0.4,0.43,6,10.4
J0942−5657,3.6,0.7,0.81,3.7,8.6
J0944−1354,5,2,1.34,4.7,7.9
J0953+0755,210,40,0.64,13.3,29.3
J0955−5304,6.7,0.8,0.58,3.7,14.3
J1001−5507,25,2,0.24,4,8.6
J1003−4747,3,1,0.82,7.2,13.7
J1012−5857,4.4,0.4,0.39,7,15.4
J1013−5934,5.8,0.6,0.41,4.7,29.7
J1017−5621,8,0.8,0.36,4.7,10.3
J1034−3224,19,4,0.73,48.8,101.2
J1042−5521,5.6,0.6,0.39,8.2,13.4
J1046−5813,4.1,0.3,0.3,8.2,13.3
J1048−5832,13.5,0.9,0.4,19.5,28.7
J1056−6258,59,4,0.3,15.9,32
J1057−5226i,20,2,0.69,–,94.2
J1059−5742,5.1,0.8,0.93,5.3,10.2
J1105−6107,2.4,0.2,0.45,18.6,29.3
J1110−5637,5.4,0.4,0.37,14.9,19.3
J1116−4122,7,4,1.7,5.3,11.1
J1121−5444,5.1,0.3,0.2,5.2,17.4
J1136+1551,90,70,1.91,10.1,13.4
J1136−5525,14,1,0.36,14.1,23.9
J1141−6545,8.5,0.6,0.52,8.7,15.1
J1146−6030,8.5,0.7,0.39,15.5,20.9
J1157−6224,34,2,0.25,10.8,31.3
J1202−5820,10.1,0.8,0.32,7.1,12.3
J1210−5559,4.9,0.4,0.43,7.1,10.1
J1224−6407,19,1,0.47,7.8,15
J1239−6832,3.5,0.8,0.73,6.4,12.2
J1243−6423,119,7,0.27,5.3,8.9
J1253−5820,8.3,0.7,0.37,7.5,20.3
J1302−6350i,4.7,0.6,0.78,–,143.4
J1305−6455,9,0.7,0.32,8.1,21.4
J1306−6617,13,2,0.53,27.6,63.4
J1312−5402,3.7,0.7,0.76,13.2,22.3
J1312−5516,8.5,0.8,0.47,8.3,15.9
J1319−6056,4.4,0.4,0.37,7.3,18.8
J1320−5359,7.1,0.5,0.38,10.5,19.6
J1326−5859,36,2,0.3,9.1,31.9
J1326−6408,8.2,0.7,0.36,4.5,15.8
J1326−6700,25,2,0.31,31.4,40.9
J1327−6222,72,4,0.21,10.7,27.2
J1327−6301,15,1,0.38,14,62.2
J1328−4357,7.6,0.9,0.66,9,15.4
J1355−5153,4.3,0.4,0.39,3.8,8.7
J1359−6038,40,2,0.33,10,24.6
J1401−6357,20,1,0.36,5.1,9.3
J1420−5416,4.6,0.4,0.34,7,13.6
J1428−5530,15,1,0.49,9,15.2
J1430−6623,33,3,0.49,2.6,11.3
J1435−5954,4.7,0.5,0.55,15.3,29.7
J1440−6344,7,1,0.84,11.7,24.9
J1452−6036,4.3,0.7,0.66,23.2,62
J1453−6413,53,3,0.38,6.1,13.8
J1456−6843,90,30,2.07,19.5,37.4
J1507−4352,8,2,0.67,5.6,12.2
J1507−6640,3.5,0.3,0.39,3.6,6.9
J1512−5759,25,1,0.27,49.4,122.1
J1522−5829,12.9,0.8,0.28,17.4,29.5
J1527−3931,2.8,0.4,0.35,5.8,8.1
J1527−5552,5.2,0.5,0.36,4,11.9
J1534−5334,21,2,0.66,5.5,16.9
J1539−5626,8.4,0.6,0.45,18.8,46.3
J1544−5308,11,1,0.58,8.7,24.2
J1557−4258,10.3,0.6,0.2,4.5,11.2
J1559−4438,82,6,0.27,8.9,18.2
J1600−5044,50,3,0.24,23.6,67.8
J1602−5100,20,1,0.27,7,12.5
J1604−4909,16,1,0.44,5,11.4
J1605−5257,28,3,0.63,32.7,42.5
J1613−4714,3.8,0.4,0.39,8.5,12.9
J1633−5015,28,2,0.23,14.8,42.1
J1644−4559,1040,60,0.32,20,53.4
J1645−0317,80,10,0.79,4.3,8.6
J1651−4246,68,4,0.15,25.1,77.9
J1651−5222,9.9,0.9,0.39,9,14.9
J1700−3312,4.8,0.6,0.44,9.6,16.4
J1701−3726,11,1,0.48,8.7,17.9
J1703−1846,5,1,0.56,6.1,11
J1703−3241,21,1,0.24,12.3,15.3
J1703−4851,4.6,0.8,0.59,4.1,16.5
J1705−1906i,19,2,0.65,–,33.8
J1705−3423,11,0.8,0.35,20.6,34.5
J1707−4053,52,5,0.38,87.4,257.2
J1708−3426,8.1,0.7,0.3,11,21.8
J1709−1640,17,2,0.49,6.5,13.2
J1709−4429,23,1,0.27,23,51.1
J1711−5350,3.4,0.4,0.4,5.2,10.1
J1715−4034,4.7,0.7,0.6,15.9,21.3
J1717−4054,8,1,1.12,17.5,41.1
J1720−1633,3.4,0.4,0.55,4.1,11.4
J1720−2933,7,1,0.54,15,22
J1722−3207,15.4,0.9,0.18,9.5,15.6
J1722−3712,7.5,0.6,0.38,7,13.8
J1739−2903i,11,1,0.56,–,46.4
J1741−3927,11.6,0.8,0.25,7.5,16.6
J1743−3150,7.3,0.6,0.37,7.2,12.2
J1744−1134,7,3,1.14,13.3,22.1
J1745−3040,46,4,0.52,5.3,22
J1748−1300,7,1,0.46,9.8,24.9
J1751−4657,15,3,0.85,7.2,10.5
J1752−2806,160,10,0.53,4.7,8.4
J1759−2205,3.7,0.6,0.48,3.1,9.5
J1801−2920,6.3,0.8,0.48,18,22.5
J1807−0847,37,3,0.3,11.8,26.7
J1807−2715,2.8,0.4,0.63,5.9,9.4
J1808−0813,4,0.4,0.29,9.2,15.1
J1816−2650,7.4,0.6,0.24,11.4,39.6
J1817−3618,7.8,0.8,0.2,8.4,15.7
J1818−1422,26,8,1.04,103.8,246.4
J1820−0427,27,2,0.24,5.8,11.3
J1822−2256,12,2,0.56,9.7,14.6
J1823−0154,2,0.2,0.25,3.4,6.5
J1823−3106,11.1,0.8,0.2,6.5,13.7
J1824−1945,24,2,0.35,4.8,11
J1825−0935,24,2,0.7,5.7,23.8
J1829−1751,21,2,0.3,6.9,19.4
J1830−1135,3,0.4,0.47,7.5,15.9
J1832−0827,8.1,0.7,0.45,5.6,15
J1833−0338,8.5,0.5,0.25,3.8,10.5
J1833−0827,20,1,0.22,34.4,99.5
J1834−0426,35,3,0.35,105.9,124
J1836−1008,14,1,0.26,9.1,18
J1840−0809,5.7,0.6,0.42,7.7,21.1
J1841+0912,5.8,0.7,0.3,9.1,14.3
J1842−0359,21,2,0.36,11.1,71.4
J1843−0000,9,0.6,0.19,11.9,21.1
J1847−0402,12.7,0.7,0.2,11.7,17.4
J1848−0123,30,2,0.34,9.1,22
J1849−0636,4.9,0.5,0.42,3.7,7.7
J1852−0635,11,1,0.39,64.6,77.8
J1854−1421,4,3,1.98,6.6,13.7
J1857+0212,6.2,0.6,0.42,18,40.2
J1900−2600,38,4,0.3,22.5,39.6
J1901+0331,26,2,0.2,6.2,21.1
J1901−0906,7,1,0.59,10,12.5
J1903+0135,19,1,0.19,4.4,10
J1903−0632,5.5,0.7,0.48,6.4,14.7
J1909+0007,3.2,0.4,0.62,2.7,7.1
J1909+0254,4.2,0.3,0.21,3.4,11
J1909+1102,10,1,0.41,5,11.2
J1909−3744,3.2,0.4,0.67,7,14
J1910−0309,5.1,0.5,0.33,5,12.8
J1913−0440,21,2,0.5,3.8,7.7
J1915+1009,3.7,0.3,0.26,4.9,10.4
