#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-04-19T02:15:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ625e1b0a1073a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=9	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/484/3691&tab:{J/MNRAS/484/3691/tablec1}&key:source=J/MNRAS/484/3691/tablec1&HTTPPRM:&
#-source=J/MNRAS/484/3691/tablec1
#-order=I
#-out=PSRJ
#-out=S843
#-out=e_S843
#Simbad=Simbad
#

#RESOURCE=yCat_74843691
#Name: J/MNRAS/484/3691
#Title: UTMOST pulsar timing programme. I. (Jankowski+, 2019)
#Table	J_MNRAS_484_3691_tablec1:
#Name: J/MNRAS/484/3691/tablec1
#Title: Flux densities and pulse widths for 205 pulsars
#Column	PSRJ	(A11)	Pulsar name (J2000)	[ucd=meta.id]
#Column	S843	(F6.1)	Flux density at 843 MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_S843	(F4.1)	Uncertainty of flux density at 843 MHz	[ucd=stat.error]
PSRJ	S843	e_S843
 	mJy	mJy
-----------	------	----
J0034-0721 	   6.0	 1.0
J0134-2937 	   9.0	 1.0
J0151-0635 	   6.0	 2.0
J0152-1637 	   3.0	 2.0
J0206-4028 	   2.2	 0.5
J0255-5304 	   7.0	 2.0
J0401-7608 	   5.0	 2.0
J0418-4154 	   2.2	 0.3
J0437-4715 	 300.0	50.0
J0450-1248 	   4.0	 0.7
J0452-1759 	  50.0	10.0
J0525+1115 	   5.7	 0.9
J0533+0402 	   3.6	 0.6
J0536-7543 	  23.0	 3.0
J0601-0527 	   6.2	 0.7
J0627+0706 	   5.8	 0.7
J0630-2834 	  90.0	30.0
J0646+0905 	   5.9	 0.9
J0659+1414 	   8.0	 2.0
J0729-1836 	   5.6	 0.6
J0737-3039A	   8.0	 1.0
J0738-4042 	 210.0	10.0
J0742-2822 	  86.0	 7.0
J0758-1528 	   4.1	 0.6
J0809-4753 	  11.0	 1.0
J0820-1350 	  24.0	 3.0
J0820-4114 	  32.0	 3.0
J0837-4135 	  77.0	 6.0
J0840-5332 	   6.0	 0.4
J0842-4851 	  18.0	 7.0
J0846-3533 	   9.2	 0.9
J0855-3331 	   2.9	 0.5
J0907-5157 	  22.0	 2.0
J0908-4913 	  35.0	 3.0
J0922+0638 	  10.0	 2.0
J0924-5814 	  13.0	 2.0
J0934-5249 	   4.7	 0.4
J0942-5657 	   3.6	 0.7
J0944-1354 	   5.0	 2.0
J0953+0755 	 210.0	40.0
J0955-5304 	   6.7	 0.8
J1001-5507 	  25.0	 2.0
J1003-4747 	   3.0	 1.0
J1012-5857 	   4.4	 0.4
J1013-5934 	   5.8	 0.6
J1017-5621 	   8.0	 0.8
J1034-3224 	  19.0	 4.0
