J0613-0200 ...... 3.062 1.410 1.4^ 0.2 1.5 -1.9^ 0.4 1
J0751+1807 ...... 3.479 1.435 3.2^ 0.7 2.9 -0.9^ 0.3 2
J1012+5307 ...... 5.256 1.410 3^ 1 1.9 -1.8^ 0.4 3
J1022+1001 ...... 16.453 1.443 3.0^ 0.4 2.5 -1.7^ 0.1 4, 5
J1024-0719 ...... 5.162 1.410 0.66^ 0.04 0.66 -1.5^ 0.2 6
B1257+12 ........ 6.219 1.410 2^ 1 2 -1.9^ 0.5 7
J1518+4904 ...... 40.935 1.410 4^ 2 2.5 -0.5^ 0.5 26, 30
B1534+12 ........ 37.904 1.530 0.6^ 0.2 0.4 -3.0^ 0.4 8
B1620-26 ........ 11.076 1.460 1.6^ 0.3 1.7 -2.5^ 0.2 9, 10
J1640+2224 ...... 3.163 1.472 2^ 1 1 -0.3^ 0.5 11
J1643-1224 ...... 4.621 1.410 4.8^ 0.6 4.5 -2.4^ 0.3 1
J1713+0747 ...... 4.570 1.510 8^ 2 5 -1.5^ 0.1 12
J1730-2324 ...... 8.123 1.410 4^ 3 2 -1.8^ 0.3 1
J1744-1134 ...... 4.075 1.470 3^ 1 2 -1.6^ 0.3 6
B1802-07 ........ 23.101 1.410 1.0^ 0.5 1.0 -1.0^0.5 13
B1855+09 ........ 5.362 1.470 5^ 1 4 -1.3^ 0.2 10, 14
B1913+16 ........ 59.030 1.560 0.9^ 0.2 0.9 -1.4^ 0.3 15, 27
B1937+21 ........ 1.558 1.579 10^ 1 9 -2.3^ 0.2 10
B1953+29 ........ 6.133 1.410 1.1^ 0.2 1.1 -2.2^ 0.3 16
J2051-0827 ...... 4.509 1.410 2.8^ 0.6 2.5 -1.8^ 0.3 17
J2145-0750 ...... 16.052 1.510 8^ 2 7 -1.6^ 0.1 18
J2229+2643 ...... 2.978 1.430 0.9^ 0.2 0.8 -2.2^ 0.5 19
J2317+1439 ...... 3.445 1.496 4^ 1 2 -1.4^ 0.3 20
