Pulsar	period	DM	${S}_{{\rm{1400}}}$	${T}_{{\rm{ref}}}^{{\rm{NE2001}}}$	${\tau }_{{\rm{d}}}^{{\rm{NE2001}}}$	${\bar{\tau }}_{{\rm{d}}}$	${\rm{\Delta }}\bar{{\nu }_{{\rm{d}}}}$	SM	${N}_{{\rm{scint}}}^{{\rm{med}}}$	${N}_{{\rm{m}}}$	${N}_{{\rm{obs}}}$	${\rm{\Delta }}{\tau }_{{\rm{d}}}$	${\sigma }_{\ \mathrm{TOA}}^{{\rm{med}}}$	MJD range	
	(ms)	(pc cm^-3)	(mJy)	(days)	(ns)	(ns)	(MHz)	(kpc ${{\rm{m}}}^{-20/3}$)				(ns)	(ns)	(days)	
J0023+0923	3.05	14.3	0.48	0.28	2.5	6.2 +or- 2.1	20.5 +or- 6.6	2.9 $\times \quad {10}^{-4}$	7	5	24	6.3	72	55989-56599	
J0030+0451	4.87	4.3	1.1	0.029	0.055	 ... 	 ... 	 ... 	 ... 	 ... 	27	 ... 	104	55989-56599	
J0340+4130	3.29	49.6	0.31	2.0	49	14.7 +or- 5.5	9.1 +or- 3.3	2.6 $\times \quad {10}^{-4}$	16	15	28	23.6	638	55972-56586	
J0613-0200	3.06	38.8	1.7	1.1	16	11.7 +or- 3.9	11.1 +or- 4.3	2.2 $\times \quad {10}^{-4}$	12	25	49	20.7	180	55275-56586	
J0645+5158	8.85	18.2	0.29	0.45	6.2	 ... 	 ... 	 ... 	 ... 	 ... 	33	 ... 	394	55700-56586	
														
J0931-1902	4.64	41.5	0.42	1.5	24	3.2	50.3	6.4 $\times \quad {10}^{-3}$	4	1	11	 ... 	622	56351-56586	
J1012+5307	5.26	9.0	3.2	0.15	1.2	2.5 +or- 0.1	66.4 +or- 5.6	1.8 $\times \quad {10}^{-4}$	3	4	51	0.5	207	55275-56586	
J1024-0719	5.16	6.5	1.5	0.055	0.17	2.8 +or- 1.3	46.8 +or- 17.8	2.4 $\times \quad {10}^{-4}$	7	5	52	3.8	338	55275-56586	
