#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-14T11:55:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ627f96275d6b1	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AZh/77/499&tab:{J/AZh/77/499/table2}&key:source=J/AZh/77/499&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AZh/77/499/table2
#-order=I
#-out=PSR
#Link=VizieR
#Simbad=Simbad
#-out=Rem
#-out=l_Flux
#-out=Flux
#-out=e_Flux
#

#RESOURCE=yCat_80770499
#Name: J/AZh/77/499
#Title: Flux densities of 235 pulsars at 102.5MHz (Malofeev+, 2000)
#Table	J_AZh_77_499_table2:
#Name: J/AZh/77/499/table2
#Title: Flux densities of Pulsars at 102.5 MHz
#Column	PSR	(a10)	Name of pulsar (1)	[ucd=meta.id;meta.main]
#Column	Rem	(A2)	Remarks: MP - main impulse, IP - intermediate impulse	[ucd=meta.note]
#Column	l_Flux	(A1)	? Limit symbol on flux	[ucd=meta.code.error]
#Column	Flux	(I5)	Flux density at 102.5MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	e_Flux	(I4)	? Mean error on Flux [NULL integer written as an empty string]	[ucd=stat.error]
PSR	Rem	l_Flux	Flux	e_Flux
 	 	 	mJy	mJy
----------	--	-	-----	----
J0006+18  	  	<	   40	
 0031-07  	  	 	  560	 310
 0037+56  	  	 	   24	  15
 0045+33  	  	 	   88	  21
 0052+51  	  	 	   23	  12
 0053+47  	  	 	   80	  26
 0059+65  	  	 	   77	  42
 0105+65  	  	 	   84	  23
 0105+68  	  	 	   23	  12
 0114+58  	  	 	   70	  20
 0136+57  	  	 	  181	  85
 0144+59  	MP	 	   25	  15
 0144+59  	IP	 	   13	   8
 0148-06  	  	 	  109	  55
 0153+39  	  	<	   39	
 0154+61  	  	 	   52	  20
 0226+70  	  	 	   17	   8
 0301+19  	  	 	   48	  26
 0320+39  	  	 	  230	  70
 0329+54  	  	 	  517	 223
 0331+45  	  	 	   34	  11
 0339+53  	  	 	   50	  26
 0353+52  	  	 	   19	   8
 0402+61  	  	 	   55	  18
 0410+69  	  	 	   28	  23
J0417+35  	  	 	   46	  15
J0421-03  	  	 	   58	  43
J0435+27  	  	 	   67	  28
 0447-12  	  	 	   64	  23
 0450+55  	  	 	  150	  60
 0458+46  	  	 	   40	  20
J0459-02  	  	 	  130	  50
 0523+11  	  	 	  119	  25
 0525+21  	  	 	  100	  50
 0531+21  	  	 	10000	6000
J0533+04  	  	 	   42	  21
J0538+2817	  	 	  320	 150
 0540+23  	  	 	   44	  16
 0559-05  	  	 	  100	  38
 0609+37  	  	 	   60	  20
J0613-0200	  	 	  210	 160
 0611+22  	  	 	  280	 100
J0621+1002	  	 	  420	 240
 0621-04  	  	 	  100	  60
