#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-21T08:24:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ632ac9f33366e9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/328/17&tab:{J/MNRAS/328/17/psr}&key:source=J/MNRAS/328/17&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/328/17/psr
#-order=I
#-out=PSRJ
#-out=S1400MHz
#-out=e_S1400MHz
#Simbad=Simbad
#

#RESOURCE=yCat_73280017
#Name: J/MNRAS/328/17
#Title: Parkes Multi-Beam Pulsar Survey (Manchester+, 2001)
#Table	J_MNRAS_328_17_psr:
#Name: J/MNRAS/328/17/psr
#Title: Pulsars discovered in the Parkes Multi-Beam  Pulsar Survey
#Column	PSRJ	(a9)	Pulsar name	[ucd=]
#Column	S1400MHz	(F5.2)	Mean flux density at 1400MHz	[ucd=]
#Column	e_S1400MHz	(I2)	rms uncertainty on S1400MHz	[ucd=]
PSRJ	S1400MHz	e_S1400MHz
 	mJy	10-2mJy
---------	-----	--
0835-3707	 0.28	 4
0838-3947	 0.11	 2
0901-4624	 0.46	 6
0922-4949	 0.52	 6
0940-5428	 0.35	 4
0954-5430	 0.36	 5
0957-5432	 0.18	 3
1001-5559	 0.64	 7
1002-5559	 0.12	 2
1016-5819	 0.31	 4
1049-5833	 0.72	 8
1056-5709	 0.11	 2
1112-6103	 1.40	15
1115-6052	 0.38	 5
1119-6127	 0.90	 9
1123-6102	 0.53	 6
1130-5925	 0.12	 2
1138-6207	 0.49	 6
1142-6230	 0.26	 4
1144-6146	 0.45	 6
1144-6217	 0.20	 3
1216-6223	 0.15	 3
1220-6318	 0.68	 8
1224-6208	 0.23	 3
1232-6501	 0.34	 4
1245-6238	 0.14	 2
1252-6314	 0.66	 8
1301-6305	 0.46	 6
1303-6305	 0.36	 5
1305-6203	 0.62	 7
1305-6256	 0.32	 4
1307-6318	 1.40	15
1309-6415	 0.21	 3
1312-6400	 0.75	 8
1317-6302	 0.99	11
1322-6241	 0.37	 5
1327-6400	 0.36	 5
1341-6023	 0.63	 7
1345-6115	 0.59	 7
1347-5947	 0.67	 8
1348-6307	 0.51	 6
1349-6130	 0.58	 7
1406-6121	 0.36	 5
1407-6048	 0.20	 3
1407-6153	 0.36	 5
1412-6111	 0.44	 5
1412-6145	 0.47	 6
1413-6222	 0.96	11
1416-6037	 0.70	 8
1425-6210	 0.19	 3
1429-5935	 0.11	 2
1434-6029	 0.14	 2
1435-6100	 0.25	 4
1444-5941	 0.42	 5
1452-5851	 0.24	 3
1454-5846	 0.24	 3
1513-5739	 0.77	 9
1530-5327	 0.59	 7
1536-5433	 1.30	14
1537-5645	 1.00	11
1538-5438	 0.24	 3
1540-5736	 0.24	 3
1543-5459	 0.62	 7
1548-5607	 1.00	11
1558-5419	 0.40	 5
1601-5244	 0.13	 2
1601-5335	 0.22	 3
1605-5215	 0.22	 3
1607-5140	 0.26	 4
1609-5158	 0.27	 4
1610-5006	 1.60	17
1611-4949	 0.58	 7
1613-5211	 0.29	 4
1613-5234	 0.28	 4
1616-5109	 1.20	13
1616-5208	 0.44	 5
1621-5039	 0.36	 5
1622-4802	 0.92	10
1622-4944	 0.52	 6
1623-4949	 0.36	 5
1625-4904	 0.20	 3
1626-4807	 0.37	 5
1628-4804	 1.00	11
1632-4621	 0.90	10
1632-4818	 0.39	 5
1649-4349	 0.75	 8
1649-4729	 0.29	 4
1650-4502	 0.35	 4
1653-4249	 1.30	14
1709-3841	 0.31	 4
1715-3700	 0.37	 5
1716-3720	 0.41	 5
1718-3825	 1.30	14
1720-3659	 0.74	 8
1723-3659	 1.50	16
1724-3505	 0.24	 3
1725-3546	 0.61	 7
1726-3530	 0.30	 4
1726-3635	 0.29	 4
1728-3733	 0.19	 3

