#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-07-29T13:12:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62e3dc6e1fec6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/892/76&tab:{J/ApJ/892/76/tablea1}&key:source=J/ApJ/892/76/tablea1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/892/76/tablea1
#-order=I
#-out=PSR
#-out=S350MHz
#-out=e_S350MHz
#Simbad=Simbad
#

#RESOURCE=yCat_18920076
#Name: J/ApJ/892/76
#Title: The GBNCC pulsar survey. V. Pulsar census (McEwen+, 2020)
#Table	J_ApJ_892_76_tablea1:
#Name: J/ApJ/892/76/tablea1
#Title: Pulsar detections in the Green Bank North Celestial Cap (GBNCC) survey
#Column	PSR	(A11)	Pulsar name (JHHMM+DDMMA, JHHMM+DDMMm, JHHMM+DD or JHHMM+DDd)	[ucd=meta.id;meta.main]
#Column	S350MHz	(F8.3)	[0.25/1014] Flux density at 350MHz, measured from GBNCC	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S350MHz	(F7.3)	[0.06/501] Uncertainty on S350MHz	[ucd=stat.error]
PSR	S350MHz	e_S350MHz
 	mJy	mJy
-----------	--------	-------
J0014+4746 	   5.091	  0.887
J0025-19   	   3.808	  0.744
J0026+6320 	   4.761	  0.562
J0030+0451 	   6.806	  1.417
J0033+57   	   9.139	  1.241
J0033+61   	   1.736	  0.408
J0034-0534 	  36.070	  7.777
J0034-0721 	  28.328	  5.767
J0034+69   	   2.534	  0.768
J0038-25   	   5.087	  1.007
J0040+5716 	   5.743	  0.814
J0048+3412 	   2.079	  0.555
J0051+0423 	   2.160	  0.449
J0053+69   	   2.581	  0.339
J0055+5117 	   1.243	  0.218
J0056+4756 	   2.582	  0.478
J0058+6125 	   2.005	  0.259
J0059+50   	   1.886	  0.322
J0100+69   	   2.113	  1.211
J0102+6537 	   2.662	  0.360
J0103+54   	   1.836	  0.399
J0104+64   	   0.692	  0.196
J0108+6608 	  11.672	  1.340
J0108+6905 	   1.356	  0.231
J0110-22   	   1.166	  0.234
J0112+66   	   1.106	  0.150
J0117+5914 	   9.472	  1.175
J0121+14   	   1.412	  1.114
J0125-23   	   5.553	  1.157
J0125+62   	   0.992	  0.159
J0134-2937 	   6.005	  1.260
J0136+63   	   1.702	  0.278
J0139+5621 	   0.901	  0.167
J0139+5814 	  14.589	  1.900
J0141+6009 	  26.092	  3.061
J0141+63   	   1.148	  0.647
J0147+5922 	   6.702	  0.819
J0151-0635 	   4.353	  0.891
J0152-1637 	  11.347	  2.438
J0156+3949 	   3.292	  0.795
J0157+6212 	   3.627	  0.468
J0201+7005 	   1.166	  0.370
