#PSR P DM S1400
#(J2000) (ms) (pc cm−1) (μJy)
J1835+00 790.1 134.3 80(20)
J1837+03 10.70 115.7 57(15)
J1840+03 5.83 80.9 150(40)
J1843+04 397.3 266.1 55(15)
J1847+01a 3.46 20.1 90(20)
J1851+00a 22.84 107.6 67(16)
J1853+00a 33.40 192.2 79(19)
J1857+07 29.12 159.6 52(14)
J1905+04 894.1 384.0 45(12)
J1905+17 278.1 175.4 74(19)
J1916+21 829.2 173.1 51(14)
J1919+04 3.96 142.7 110(30)
J1927+08 253.4 224.0 160(40)
J1935+11 5.39 69.5 90(20)
J1936+13 4.34 168.0 65(17)
J1936+18a 58.35 126.1 38(11)
J1936+21a 31.60 75.0 45(12)
J1936+24 1.90 94.4 120(30)
J1940+14 1274.4 69.9 130(50)
J1940+25 5.89 30.9 70(20)
J1940+26a 4.81 171.6 29(9)
J1944+16 2.43 170.9 170(50)
J1945+17 604.2 167.7 48(13)
