#PSR ℓ b DNE2001 DYMW16 W50 S1400 log(τc) log(B) log(E)
#(J2000) (°) (°) (kpc) (kpc) (ms) (μJy) (yr) (G) (erg s−1)
J0608+1635 193.366 –1.569 2.4 1.7 17(4) 140(40) 6.0 12.6 32.8
J1843+0119 33.195 2.392 6.1 6.1 4(1) 63(16) 6.7 12.3 31.9
J1849+0106 33.744 0.841 5.5 4.6 13(7) 22(6) 6.2 12.8 32.0
J1849+0430 36.748 2.446 5.1 6.0 26(7) 110(30) 7.8 11.3 31.8
J1851+0241 35.314 1.248 9.7 11.3 6(4) 56(14) 6.5 13.0 31.0
J1852−0000 33.066 –0.277 8.2 5.8 27(8) 115(19) 5.1 13.3 33.1
J1853+0029 33.580 –0.19 5.5 4.1 75(15) 74(19) 7.1 12.3 31.2
J1853+0259 35.806 0.963 6.3 5.8 51(5) 220(40) 7.9 11.4 31.3
J1853+0427 37.170 1.512 10.7 15.7 7(2) 100(30) 6.9 12.3 31.7
J1854+0050 34.053 –0.349 7.9 5.7 21(6) 48(8) 7.3 11.8 31.7
J1855+0306 36.175 0.483 9.5 7.4 39(6) 35(6) 6.6 12.5 31.8
J1855+0626a 39.125 2.055 6.5 9.3 10(1) 130(30)
J1856+0912 41.715 3.058 5.9 9.6 53(17) 40(11) 7.1 12.4 31.0
J1858+0239b 36.085 –0.31 7.9 5.9 11(2) 140(40) 5.3 12.2 34.9
J1859+0345 37.169 –0.01 8.6 6.2 31(12) 90(20) 7.6 12.0 30.9
J1902+0235 36.498 –1.282 8.2 13.9 9(3) 40(11) 7.8 11.3 31.7
J1902+1141 44.537 2.984 5.9 6.1 12(3) 120(30) 6.4 12.0 33.2
J1903+0415 38.088 –0.732 8.1 7.6 30(5) 72(12) 7.9 11.7 30.8
J1903+0912 42.522 1.49 8.5 11.8 6(3) 90(20) 5.2 12.2 35.1
J1904+0056 35.224 –2.387 2.8 4.3 21(7) 45(12) 9.2 10.6 30.3
J1905+1034 43.919 1.755 5.0 6.9 26(7) 40(11) 6.1 12.8 32.2
J1906+0724 41.222 0.074 8.4 6.9 23(12) 45(11) 6.9 12.3 31.5
J1907+0833 42.431 0.262 9.2 8.3 15(1) 100(17) 5.9 11.9 34.5
J1908+0558 40.141 –0.949 8.7 10.6 6(1) 50(13) 6.1 11.8 34.3
J1908+1351 47.206 2.558 6.1 6.9 5(2) 22(6) 7.1 12.5 30.7
J1909+1205 45.780 1.472 7.9 10.1 47(5) 100(30) 6.8 12.3 31.9
J1910+0435 39.158 –2.062 7.3 11.3 15(5) 90(20) 5.8 12.5 33.4
J1910+0710 41.461 –0.879 6.1 6.0 16(8) 32(5) 7.6 11.5 31.7
J1910+1017 44.250 0.517 12.5 13.7 11(6) 37(9) 6.1 12.2 33.5
