J0023+0923 6 3.05 14.3216(6) −5.1(9) 30(2) 3(2) 3(2) 0.49 0.73(12) −1.4(7) Hessels et al. (2011)
J0030+0451∗ 33 4.87 4.33294(11) 1.32(13) 33(2) 0.9(22) 2(2) 0.91 1.09(3) −2.4(2) Lommen et al. (2000)
J0034-0534 6 1.88 13.748(2) −† <4.1 −3(4) <8.1 2.5 0.21(5) −1.0(9) Bailes et al. (1994)
J0101-6422∗ 8 2.57 11.9210(4) 20(10) 21(2) 2(6) <11.2 2.0 0.156(11) −1.4(5) Kerr et al. (2012)
J0125-2327∗ 39 3.68 9.5974(3) 4.78(7) 34(2) −3(2) 2(2) 0.19 2.49(12) −1.0(2) McEwen et al. (2020)
J0154+1833 6 2.36 19.79830(14) −21.9(6)† 30(2) −0.7(61) <12.1 0.89 0.11(2) −1.7(8) Martinez et al. (2019)
J0348+0432 6 39.1 40.464(7) 48.3(3) 28(2) −13(3) 11(3) 1.6 0.67(4) −1.8(3) Lynch et al. (2013)
J0407+1607 6 25.7 35.593(6) −† 4(2) 6(3) 5(3) 14 0.35(2) −2.5(2) Lorimer et al. (2005)
J0437-4715∗ 74 5.76 2.6411(2) 0.15(2) 25(2) −5(3) 13(3) 0.0087 126(2) −1.78(11) Johnston et al. (1993)
J0453+1559 6 45.8 30.298(2) −35.3(3) 20(2) −0.1(31) <6.1 1.8 0.33(2) −1.3(3) Deneva et al. (2013)
J0509+0856 6 4.06 38.3271(8) 44.1(3) 22(2) 2(2) 3(2) 1.6 1.47(3) −2.19(9) Martinez et al. (2019)
J0557+1550 6 2.56 102.5700(12) 26(1) 27(2) 0(10) <21 3.8 0.067(5) −2.0(3) Scholz et al. (2015)
J0557-2948 6 43.6 49.033(2) 1(2) 17(2) −2(9) <18 5.6 0.046(2) −2.2(2) Kawash et al. (2018)
J0610-2100∗ 38 3.86 60.6865(3) 33.7(2) 71(2) −5(2) 5(2) 0.78 0.65(2) −1.24(14) Burgay et al. (2006)
J0613-0200∗ 36 3.06 38.7750(5) 18.4(2) 19(2) 0.3(21) 3(2) 0.18 2.15(7) −2.09(13) Lorimer et al. (1995)
J0614-3329∗ 39 3.15 37.05245(14) 38.9(2) 31(2) −1(2) 2(2) 0.52 0.68(4) −1.7(2) Ransom et al. (2011)
J0621+1002 6 28.9 36.5533(7) 52.0(2) 21(2) −16(2) 14(2) 1.1 1.72(14) −2.4(3) Camilo et al. (1996)
J0621+2514 6 2.72 83.633(3) 11(2) 64(3) 10(10) <27 11 0.079(3) −1.5(2) Sanpa-arsa (2016)
J0636-3044∗ 25 3.95 15.4589(4) 36.9(2) 41(2) 2(2) 6(2) 1.9 1.51(14) −0.9(5) Morello et al. (2019)
J0709+0458 6 34.4 44.273(3) 42.0(6) 21(2) 4(3) <6.9 4.3 0.256(7) −1.52(11) Martinez et al. (2019)
J0711-6830∗ 40 5.49 18.4096(2) 23.9(3) 15(2) −15(2) 14(2) 0.76 2.6(3) −1.7(4) Bailes et al. (1997)
J0721-2038 6 15.5 76.093(6) −18.4(4) 27(2) −18(4) 16(4) 5.7 0.273(6) −1.72(9) Burgay et al. (2013a)
J0732+2314 6 4.09 44.670(3) −3(2) 22(2) 18(3) 16(3) 5.9 0.73(8) −1.3(5) Martinez et al. (2019)
J0737-3039A 10 22.5 48.916(2) 120.46(4) 33(2) −0.9(20) 4(2) 1.1 3.06(7) −1.86(13) Burgay et al. (2003)
J0751+1807 6 3.48 30.2409(6) 41.6(2) 27(2) −10(2) 10(2) 0.50 1.35(6) −1.1(2) Lundgren et al. (1995)
J0824+0028 6 9.86 34.5473(12) 38.7(3) 43(2) 6(4) 8(4) 3.4 0.51(2) −2.20(14) Deneva et al. (2013)
J0900-3144∗ 39 11.1 75.6862(7) 85.43(5) 38(2) 9(2) 10(2) 0.58 3.84(3) −1.30(4) Burgay et al. (2006)
J0921-5202 8 9.68 122.710(3) −179(1) 32(2) 3(7) <14.2 8.3 0.189(7) −1.6(2) Mickaliger et al. (2012)
J0931-1902∗ 22 4.64 41.4900(5) −100.2(2) 34(2) 1(2) 3(2) 0.96 0.52(4) −2.4(3) Laffon et al. (2015)
J0955-6150∗ 67 2.00 160.8997(2) −49(1) 4(2) 0.5(21) 8(2) 1.0 0.639(12) −3.18(8) Camilo et al. (2015)
J1012-4235∗ 40 3.10 71.6515(3) 61.8(5) 20(2) 2(3) 4(3) 0.82 0.258(6) −1.33(11) Camilo et al. (2015)
J1017-7156∗ 53 2.34 94.21473(10) −63.36(8) 38(2) −21(3) 22(3) 0.064 1.09(3) −2.01(11) Keith et al. (2012)
J1022+1001∗ 36 16.5 10.2550(8) 1.83(5) 61(2) −14(2) 14(2) 0.29 3.9(3) −1.9(4) Camilo et al. (1996)
J1024-0719∗ 36 5.16 6.4864(2) −2.89(14) 62(2) 3(2) 3(2) 0.78 1.50(8) −1.8(4) Bailes et al. (1997)
J1035-6720 5 2.87 84.166(11) −53(3) 63(3) 10(20) <39 15 0.065(2) −2.9(2) Clark et al. (2018)
J1036-8317∗ 39 3.41 27.0927(2) 12.9(2) 26(2) 5(3) 9(3) 0.58 0.45(2) −1.1(2) Camilo et al. (2015)
J1038+0032 6 28.9 26.31(2) 20(5)† 18(2) 2(8) <16 34 0.102(12) −2.1(5) Burgay et al. (2006)
J1045-4509∗ 40 7.47 58.1106(6) 94.43(9) 22(2) 12(2) 13(2) 0.64 2.39(6) −2.13(10) Bailes et al. (1994)
J1056-7117 6 26.3 92.904(5) −31.3(3) 17(2) −4(3) 8(3) 9.8 0.50(2) −2.2(2) Ng et al. (2014)
J1101-6424∗ 49 5.11 207.3633(5) −41.2(2) 21(2) −14(2) 16(2) 2.1 0.302(3) −1.55(4) Ng et al. (2015)
J1103-5403∗ 41 3.39 103.9114(3) −67.7(4) 33(2) −19(4) 19(4) 0.79 0.395(10) −2.43(14) Keith et al. (2011)
J1120-3618 6 5.56 45.119(2) −48(8)† 9(2) −6(5) <10.0 16 0.30(2) −1.9(3) Roy & Bhattacharyya (2013)
J1125-5825∗ 40 3.10 124.8083(4) −5.5(2) 25(2) −2(2) 9(2) 0.45 1.00(2) −1.40(8) Keith et al. (2010)
J1125-6014∗ 51 2.63 52.92972(4) 8.45(8) 31(2) 0.2(20) 2(2) 0.10 1.32(2) −1.41(7) Faulkner et al. (2004)
J1142+0119 6 5.08 19.172(7) 0.31(11)† 16(3) 20(20) <34 17 0.045(5) −1.7(4) Sanpa-arsa (2016)
J1157-5112 21 43.6 39.724(3) −4.46(12) 47(2) 3(2) 4(2) 6.9 0.19(2) −2.8(4) Edwards & Bailes (2001a)
J1207-5050 7 4.84 50.640(2) −13(1) 28(2) −7(4) 6(4) 3.5 0.39(3) −2.1(3) Ray et al. (2012)
J1216-6410∗ 41 3.54 47.3933(2) −22.0(3) 26(2) −8(3) 9(3) 0.27 1.15(2) −2.00(7) Faulkner et al. (2004)
J1227-6208 23 34.5 362.913(3) 47.3(2) 14(2) −11(2) 10(2) 4.1 0.272(2) −2.20(3) Bates et al. (2015)
J1231-1411∗ 12 3.68 8.0884(4) 11.6(2) 44(2) −5(3) 4(3) 3.1 0.29(2) −1.9(4) Ransom et al. (2011)
J1300+1240 6 6.22 10.1658(9) 9.0(8) 42(2) 1(4) 12(4) 3.9 0.39(7) −1.7(7) Wolszczan (1990)
J1302-3258 6 3.77 26.1860(7) −30(1) 43(2) −8(6) <11.8 2.6 0.17(2) −2.4(8) Hessels et al. (2011)
J1312+0051 6 4.23 15.3417(14) 2(1) 62(2) −0.8(56) <11.3 4.2 0.19(2) −1.3(4) Sanpa-arsa (2016)
J1327-0755∗ 24 2.68 27.9068(3) −0.3(5)† 15(2) 4(3) 8(3) 1.0 0.19(2) −2.6(4) Boyles et al. (2013)
J1337-6423 6 9.42 259.891(8) −108.3(9) 17(2) 3(6) <11.1 5.9 0.273(5) −1.86(8) Keith et al. (2012)
J1400-1431 6 3.08 4.9319(2) 5(3)† 16(2) 0.2(42) <8.3 2.0 0.17(2) −3.5(5) Rosen et al. (2013)
J1405-4656 7 7.60 13.885(3) −5(1) 30(2) 4(3) <6.9 17 0.31(4) −4.0(6) Bates et al. (2015)
J1420-5625 7 34.1 64.485(5) 33.0(7) 33(2) 11(5) 8(5) 14 0.121(4) −1.2(2) Hobbs et al. (2004)
J1421-4409∗ 38 6.39 54.6403(5) −24.3(6) 17(2) 3(2) 10(2) 1.2 1.26(4) −1.49(13) Keane et al. (2018)
J1431-4715 6 2.01 59.3473(9) 13.3(2) 33(2) 3(4) <8.5 0.68 0.67(2) −1.0(2) Bates et al. (2015)
J1431-5740∗ 40 4.11 131.3766(6) −42.2(4) 19(2) −28(3) 27(3) 1.1 0.359(6) −1.31(8) Burgay et al. (2013b)
J1435-6100∗ 49 9.35 113.7819(2) −53.73(12) 23(2) 7(2) 6(2) 0.74 0.313(5) −1.37(7) Camilo et al. (2001)
J1439-5501 11 28.6 14.565(8) −7.9(4) 29(2) −6(3) 8(3) 2.6 0.38(4) −2.8(4) Faulkner et al. (2004)
J1446-4701∗ 39 2.19 55.82787(6) −9.6(2) 38(2) −10(3) 10(3) 0.43 0.36(2) −2.0(2) Keith et al. (2012)
J1453+1902 6 5.79 14.057(2) 3.2(6) 52(2) −0.4(80) <16 5.4 0.16(2) 1.3(5) Lorimer et al. (2007)
J1454-5846 15 45.2 116.091(2) 84.3(8) 8(2) −0.5(26) <5.2 11 0.299(4) −1.42(7) Camilo et al. (2001)
J1455-3330∗ 37 7.99 13.5697(2) 14.7(8) 18(2) −3(2) 5(2) 0.99 0.73(4) −2.2(3) Lorimer et al. (1995)
J1502-6752 6 26.7 152.242(6) 232.8(2) 38(2) −16(4) 12(4) 18 0.87(2) −1.3(2) Keith et al. (2012)
J1513-2550∗ 13 2.12 46.8765(3) −† <4.0 8(3) 6(3) 0.79 0.308(12) −3.8(2) Sanpa-arsa (2016)
J1514-4946∗ 7 3.59 31.00857(8) 35(2) 65(2) −3(5) <10.1 0.66 0.25(3) 0.4(6) Kerr et al. (2012)
J1525-5545∗ 45 11.4 126.9640(14) 2.9(3) 13(2) 0.8(22) 9(2) 1.5 0.426(6) −1.40(7) Ng et al. (2014)
J1529-3828 6 8.49 73.655(2) −30(8) 16(2) 9(5) <10.4 12 0.27(2) −2.0(4) Ng et al. (2014)
J1536-4948 5 3.08 37.998(8) −† 4(3) 0(20) <39 13 0.087(10) −3.2(6) Ray et al. (2012)
J1537+1155 6 37.9 11.608(3) 7.7(5) 25(2) 1(3) 4(3) 6.3 0.46(7) −1.1(6) Wolszczan (1991)
J1537-5312 9 6.93 117.687(4) −37.4(8) 21(2) −7(6) <11.6 7.1 0.32(2) −2.3(3) Cameron et al. (2020)
J1543-5149∗ 38 2.06 50.9820(4) −27(2) 7(2) 5(2) 6(2) 1.0 0.82(3) −3.2(2) Keith et al. (2012)
J1545-4550∗ 48 3.58 68.3884(2) 2.99(11) 50(2) −12(3) 14(3) 0.31 1.07(3) −1.29(12) Burgay et al. (2013b)
J1546-5925 6 7.80 168.282(3) −40(20) 22(2) 7(8) <16 6.6 0.269(12) −1.3(2) Mickaliger et al. (2012)
J1547-5709∗ 39 4.29 95.7221(4) 119.7(4) 21(2) −6(4) <8.0 1.5 0.343(9) −2.04(12) Cameron et al. (2020)
J1552-4937 6 6.28 113.803(2) −30(9) 11(2) 2(6) <11.6 4.8 0.34(2) −2.6(2) Faulkner et al. (2004)
J1600-3053∗ 40 3.60 52.3282(2) −11.69(10) 30(2) 0.8(20) 2(2) 0.12 2.22(5) −0.99(12) Jacoby et al. (2007)
J1603-7202∗ 39 14.8 38.0497(8) 30.01(14) 18(2) 27(2) 30(2) 0.41 2.46(13) −2.7(3) Lorimer et al. (1996)
J1614-2230∗ 38 3.15 34.4850(3) −29.12(8) 63(2) 4(2) 2(2) 0.27 1.14(4) −1.8(2) Crawford et al. (2006)
J1618-3921 25 12.0 117.9312(7) 177.5(2) 25(2) 10(2) 9(2) 4.2 0.631(6) −2.28(4) Edwards & Bailes (2001b)
J1618-4624 7 5.93 125.4068(11) 2(2)† 6(2) 23(7) 22(7) 4.3 0.229(8) −1.8(2) Cameron et al. (2020)
J1622-6617 6 23.6 88.0049(12) 9(1) 8(2) 9(3) 6(3) 3.8 0.44(4) −1.7(4) Keith et al. (2012)
J1629-6902∗ 41 6.00 29.4948(2) 36.67(15) 27(2) −3(3) 7(3) 0.39 1.01(4) −2.0(2) Edwards & Bailes (2001b)
J1640+2224 6 3.16 18.42881(12) 19(2) 12(2) 5(3) 7(3) 0.47 0.46(6) −2.1(6) Foster et al. (1995)
J1643-1224∗ 37 4.62 62.3975(4) −304.28(11) 17(2) −0.7(21) 12(2) 0.29 3.78(3) −2.12(3) Lorimer et al. (1995)
J1652-4838∗ 39 3.79 188.1559(8) −29.5(3) 21(2) 4(2) 5(2) 1.0 0.917(14) −1.11(7) Knispel et al. (2013)
J1653-2054∗ 25 4.13 56.5213(3) −4.5(3) 18(2) 3(2) 3(2) 2.2 0.575(14) −2.25(13) Bates et al. (2015)
