PSR,flux(mJy),flux_error(mJy),,,PSR,P,DM,flux(mJy)
J0117+5914,5.2,2.6,,,B0113+58,0.101437,49,5.2
J0147+5922,3.6,1.8,,,B0144+59,0.196321,40,3.6
J0612+3721,3.1,1.55,,,B0609+37,0.297982,25,3.1
J1720-1633,6.9,3.45,,,B1716-16,1.5655,43,6.9
J1728-0007,5.2,2.6,,,B1726+00,0.386,39,5.2
J1743-1351,4.3,2.15,,,B1740-14,0.4053,128,4.3
J1801-0357,19.1,9.55,,,B1759-04,0.92148,106,19.1
J1805+0306,4.5,2.25,,,B1802+03,0.21871,75,4.5
J1806-1154,4.3,2.15,,,B1804-12,0.52276,120,4.3
J1812+0226,5.1,2.55,,,B1811+02,0.79389,104,5.1
J1850+1335,4.5,2.25,,,B1847+13,0.3455,57,4.5
J1851+1259,4.5,2.25,,,B1849+12,1.20529,70,4.5
J1901+0156,9.6,4.8,,,B1858+01,0.288218,93,9.6
J1905-0056,12.4,6.2,,,B1902-00,0.64318,248,12.4
J1933+2421,8,4,,,B1931+24,0.81368,89,8
J2002+4050,22.1,11.05,,,B2001+40,0.90506,160,22.1
J2013+3845,4.9,2.45,,,B2012+38,0.23019,254,4.9
J2029+3744,10.3,5.15,,,B2028+37,1.21681,217,10.3
J2037+1942,2.4,1.2,,,B2035+19,2.07437,38,2.4
J2055+2209,5.6,2.8,,,B2053+21,0.81518,49,5.6
