0034-0534 17(5) 5.5(5) 0.61(9) 0.56(9) -2.6(10)
0437-4715 550(100) 300(20) 137(3) 115(3) -1.1(5)
0613-0200 ... 7.3(4) 2.2(1) 2.0(1) -1.5(5)
0711-6830 ... 11(2) 3.4(5) 2.1(3) -1.7(14)
1024-0719 ... 4.2(6) 0.9(1) 0.88(7) -1.7(12)
1045-4509 15(3) 8.5(3) 1.9(1) ... -2.0(5)
1455-3330 9(1) 8(1) 1.2(1) ... -1.8(11)
1603-7202 21(2) 17(1) 2.9(2) 2.3(2) -1.8(5)
1623-2631 ... 7.2(2) 2.0(3) ... -1.5(2)
1643-1224 ... 16.0(5) 3.3(1) 3.0(1) -1.9(3)
1730-2304 ... 14(1) 3.0(4) 2.5(3) -1.9(10)
1744-1134 18(2) 16(2) 2.0(2) 1.7(3) -1.8(7)
1804-2718 15(4) 8(1) 0.7(1) ... -2.9(15)
1823-3021A 16(5) 6.8(7) 0.72(2) ... -2.7(9)
1911-1114 ... 7.1(5) 0.7(1) 0.63(4) -2.6(7)
2051-0827 ... 5.5(5) 1.4(1) 1.5(1) -1.6(9)
2124-3358 17(4) 7.8(7) 2.6(2) 1.9(2) -1.5(8)
2129-5718 14(2) 8.4(7) 1.2(1) ... -2.2(8)
2145-0750 100(30) 36(4) 7.0(9) 5.4(8) -2.1(11)
