PSR	P	S _1400	N _S	N _X	T _S	T _X	S _nu,S	S _nu,X	W _10,S	W _10,X	W _50,S	W _50,X	
Name	(ms)	(mJy)			(hr)	(hr)	(mJy)	(mJy)	(deg)	(deg)	(deg)	(deg)	
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	
B0355+54	156.38	23.0	41	31	9.9	7.7	15.63(313)	7.71(154)	31.6(3)	20.1(7)	5.1(1)	4.5(1)	
J0900-3144	11.11	3.0	46	46	25.0	25.0	1.41(28)	0.11(2)	112.7(102)	cdots	85.7(21)	7.6(16)	
J1012+5307	5.26	3.8	83	81	34.5	33.6	1.30(26)	0.06(1)	67.0(74) ^a	cdots	35.8(31) ^a	14.0(44) ^a	
J1022+1001	16.45	4.9	77	75	79.4	71.8	2.24(45)	0.29(6)	39.3(9)	30.1(21)	8.9(2)	10.0(3)	
J1643-1224	4.62	4.7	39	34	23.1	20.6	1.46(29)	0.23(5)	66.9(70)	cdots	21.5(18)	20.3(90)	
J1713+0747	4.57	9.1	47 ^b	56^^b	70.6	71.0^^b	3.57(71)	0.33(7)	31.1(6)	87.1(53)	7.9(1)	22.7(11)	
J1744-1134	4.08	3.2	8	8	13.2	13.7	0.93(19)	0.15(3)	19.5(16)	18.9(17)	12.3(9)	7.5(5)	
J1909-3744	2.93	2.5	5	3	18.1	9.5	0.51(10)	0.13(3)	11.2(13)	10.7(12)	5.8(3)	5.9(3)	
J1939+2134	1.56	15.3	6	6	10.6	10.6	3.20(64)	0.14(3)	26.9(8) ^a	20.9(18) ^a	14.2(3) ^a	10.2(5) ^a	
J2145-0750	16.05	10.2	8	11	13.9	23.1	2.14(43)	0.30(6)	94.2(24)	68.4(31)	7.6(6)	9.5(5)	
